Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","’a",""
"3","a’",""
"4","’a’",""
"5","b",""
"6","ch",""
"7","ch’",""
"8","d",""
"9","dl",""
"10","dz",""
"11","d̲z̲",""
"12","e",""
"13","’e",""
"14","e’",""
"15","’e’",""
"16","g",""
"17","gh",""
"18","gw",""
"19","h",""
"20","i",""
"21","’i",""
"22","i’",""
"23","’i’",""
"24","j",""
"25","k",""
"26","k’",""
"27","kh",""
"28","kw",""
"29","kw’",""
"30","l",""
"31","lh",""
"32","m",""
"33","n",""
"34","o",""
"35","’o",""
"36","o’",""
"37","’o’",""
"38","oo",""
"39","’oo",""
"40","oo’",""
"41","’oo’",""
"42","s",""
"43","s̲",""
"44","sh",""
"45","t",""
"46","t’",""
"47","tl",""
"48","tl’",""
"49","ts",""
"50","ts’",""
"51","t̲s̲",""
"52","u",""
"53","’u",""
"54","u’",""
"55","’u’",""
"56","ai",""
"57","’ai",""
"58","ai’",""
"59","’ai’",""
"60","w",""
"61","wh",""
"62","y",""
"63","z",""
