Confusable,Canonical Character
"̕oo","’oo"
"̒oo","’oo"
"̔oo","’oo"
"ʼoo","’oo"
"ˈoo","’oo"
"՚oo","’oo"
"＇oo","’oo"
"'oo","’oo"
"ʼiʼ","’i’"
"ˈiˈ","’i’"
"՚i՚","’i’"
"＇i＇","’i’"
"'i'","’i’"
"̒a ̒","’a’"
"̔a ̔","’a’"
"ʼaʼ","’a’"
"ˈaˈ","’a’"
"՚a՚","’a’"
"＇a＇","’a’"
"'a'","’a’"
"e＇","e’"
"e'","e’"
"e̓","e’"
"e̕","e’"
"e̒","e’"
"e̔","e’"
"eʼ","e’"
"eˈ","e’"
"e՚","e’"
"kwʼ","kw’"
"kw̓","kw’"
"kw̒","kw’"
"kw̕","kw’"
"kw＇","kw’"
"kw̔","kw’"
"kw'","kw’"
"kwˈ","kw’"
"kw՚","kw’"
"a̓","a’"
"a̕","a’"
"a̒","a’"
"a̔","a’"
"aʼ","a’"
"aˈ","a’"
"a՚","a’"
"a＇","a’"
"a'","a’"
"t̔","t’"
"t̕","t’"
"t＇","t’"
"t'","t’"
"tˈ","t’"
"t՚","t’"
"tʼ","t’"
"t̒","t’"
"t̓","t’"
"s̠","s̲"
"s̱","s̲"
"̒o ̒","’o’"
"̔o ̔","’o’"
"ʼoʼ","’o’"
"ˈoˈ","’o’"
"՚o՚","’o’"
"＇o＇","’o’"
"'o'","’o’"
"t̠s̠","t̲s̲"
"ṯs̠","t̲s̲"
"t̠s̱","t̲s̲"
"ṯs̱","t̲s̲"
"kʼ","k’"
"k̓","k’"
"k̕","k’"
"k'","k’"
"k＇","k’"
"kˈ","k’"
"k՚","k’"
"̕u ̕","’u’"
"̒u ̒","’u’"
"̔u ̔","’u’"
"ʼuʼ","’u’"
"ˈuˈ","’u’"
"՚u՚","’u’"
"＇u＇","’u’"
"'u'","’u’"
"̕oo ̕","’oo’"
"̒oo ̒","’oo’"
"̔oo ̔","’oo’"
"ʼooʼ","’oo’"
"ˈooˈ","’oo’"
"՚oo՚","’oo’"
"＇oo＇","’oo’"
"'oo'","’oo’"
"ʼo","’o"
"՚o","’o"
"＇o","’o"
"ˈo","’o"
"'o","’o"
"̕o","’o"
"̔o","’o"
"̒o","’o"
"＇a","’a"
"ʼa","’a"
"՚a","’a"
"ˈa","’a"
"'a","’a"
"̕a","’a"
"̔a","’a"
"̒a","’a"
"tlˈ","tl’"
"tl՚","tl’"
"tlʼ","tl’"
"tl̓","tl’"
"tl̒","tl’"
"tl̕","tl’"
"tl＇","tl’"
"tl̔","tl’"
"tl'","tl’"
"ḏẕ","d̲z̲"
"d̠ẕ","d̲z̲"
"d̲z_","d̲z̲"
"d̠z̠","d̲z̲"
"d_ẕ","d̲z̲"
"d̲ẕ","d̲z̲"
"d̲z̠","d̲z̲"
"d_z_","d̲z̲"
"o＇","o’"
"o'","o’"
"o̓","o’"
"o̕","o’"
"o̒","o’"
"o̔","o’"
"oʼ","o’"
"o̍","o’"
"o՚","o’"
"ˈi","’i"
"'i","’i"
"̕i","’i"
"̔i","’i"
"̒i","’i"
"＇i","’i"
"ʼi","’i"
"՚i","’i"
"̕ai","’ai"
"̒ai","’ai"
"̔ai","’ai"
"ʼai","’ai"
"ˈai","’ai"
"՚ai","’ai"
"＇ai","’ai"
"'ai","’ai"
"oo̓","oo’"
"oo̕","oo’"
"ooʼ","oo’"
"ooˈ","oo’"
"oo՚","oo’"
"oo＇","oo’"
"oo'","oo’"
"＇u","’u"
"̔u","’u"
"̒u","’u"
"ʼu","’u"
"̓ ̕u","’u"
"՚u","’u"
"ˈu","’u"
"'u","’u"
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"tsˈ","ts’"
"ts'","ts’"
"ts՚","ts’"
"ts＇","ts’"
"tsʼ","ts’"
"＇e","’e"
"̔e","’e"
"̒e","’e"
"ʼe","’e"
"̓ ̕e","’e"
"՚e","’e"
"ˈe","’e"
"'e","’e"
"ch＇","ch’"
"ch̕","ch’"
"chˈ","ch’"
"ch'","ch’"
"ch՚","ch’"
"chʼ","ch’"
"ch̒","ch’"
"ch̔","ch’"
"ch̓","ch’"
"ai̕","ai’"
"aiʼ","ai’"
"aiˈ","ai’"
"ai՚","ai’"
"ai＇","ai’"
"ai'","ai’"
"u＇","u’"
"u'","u’"
"u̓","u’"
"u̕","u’"
"u̒","u’"
"u̔","u’"
"uʼ","u’"
"uˈ","u’"
"u՚","u’"
"i̕","i’"
"iʼ","i’"
"iˈ","i’"
"i՚","i’"
"i＇","i’"
"i'","i’"
"̒ai ̒","’ai’"
"̔ai ̔","’ai’"
"ʼaiʼ","’ai’"
"ˈaiˈ","’ai’"
"՚ai՚","’ai’"
"＇ai＇","’ai’"
"'ai'","’ai’"
"̒e ̒","’e’"
"̔e ̔","’e’"
"ʼeʼ","’e’"
"ˈeˈ","’e’"
"՚e՚","’e’"
"＇e＇","’e’"
"'e'","’e’"
