Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","á",""
"3","ą",""
"4","ą́",""
"5","ā",""
"6","ā́",""
"7","â",""
"8","ǎ",""
"9","ą̄",""
"10","ą̄́",""
"11","ą̂",""
"12","ą̌",""
"13","b",""
"14","ch",""
"15","chʼ",""
"16","d",""
"17","dl",""
"18","dz",""
"19","e",""
"20","é",""
"21","ę",""
"22","ę́",""
"23","ē",""
"24","ḗ",""
"25","ê",""
"26","ě",""
"27","ę̄",""
"28","ę̄́",""
"29","ę̂",""
"30","ę̌",""
"31","f",""
"32","g",""
"33","gh",""
"34","h",""
"35","i",""
"36","í",""
"37","į",""
"38","į́",""
"39","ī",""
"40","ī́",""
"41","î",""
"42","ǐ",""
"43","į̄",""
"44","į̄́",""
"45","į̂",""
"46","į̌",""
"47","j",""
"48","k",""
"49","kʼ",""
"50","l",""
"51","ł",""
"52","m",""
"53","n",""
"54","o",""
"55","ó",""
"56","ǫ",""
"57","ǫ́",""
"58","ō",""
"59","ṓ",""
"60","ô",""
"61","ǒ",""
"62","ǭ",""
"63","ǭ́",""
"64","ǫ̂",""
"65","ǫ̌",""
"66","p",""
"67","r",""
"68","s",""
"69","sh",""
"70","t",""
"71","tʼ",""
"72","tl",""
"73","tlʼ",""
"74","ts",""
"75","tsʼ",""
"76","u",""
"77","ú",""
"78","ų",""
"79","ų́",""
"80","ū",""
"81","ū́",""
"82","û",""
"83","ǔ",""
"84","ų̄",""
"85","ų̄́",""
"86","ų̂",""
"87","ų̌",""
"88","y",""
"89","ÿ",""
"90","z",""
"91","ʼ",""
