Confusable,Canonical Character
"tl’","tlʼ"
"tlˈ","tlʼ"
"tl՚","tlʼ"
"tl̓","tlʼ"
"tl̒","tlʼ"
"tl̕","tlʼ"
"tl＇","tlʼ"
"tl̔","tlʼ"
"tl'","tlʼ"
"a̅","ā"
"a︤","ā"
"a︥","ā"
"a¯","ā"
"a‾","ā"
"ó̄","ṓ"
"ó̅","ṓ"
"ó︤","ṓ"
"ó︥","ṓ"
"ó¯","ṓ"
"ó‾ṓ","ṓ"
"o̅́","ṓ"
"o︤́","ṓ"
"o︥́","ṓ"
"o¯́","ṓ"
"o‾́","ṓ"
"i̅́","ī́"
"i︥́","ī́"
"i︤́","ī́"
"ą︥","ą̄"
"ą̅","ą̄"
"ą︤","ą̄"
"é̄","ḗ"
"é̅","ḗ"
"é︤","ḗ"
"é︥","ḗ"
"é¯","ḗ"
"é‾","ḗ"
"e̅́","ḗ"
"e︤́","ḗ"
"e︥́","ḗ"
"e¯́","ḗ"
"e‾́","ḗ"
"ą̅́","ą̄́"
"ą︤́","ą̄́"
"ą︥́","ą̄́"
"ts̒","tsʼ"
"ts̔","tsʼ"
"ts̓","tsʼ"
"ts̕","tsʼ"
"tsˈ","tsʼ"
"ts՚","tsʼ"
"ts’","tsʼ"
"l̸","ł"
"l̷","ł"
"a̅́","ā́"
"a︥́","ā́"
"a︤́","ā́"
"i̅","ī"
"i︤","ī"
"i︥","ī"
"i¯","ī"
"i‾","ī"
"ch̕","chʼ"
"chˈ","chʼ"
"ch՚","chʼ"
"ch’","chʼ"
"ch̒","chʼ"
"ch̔","chʼ"
"ch̓","chʼ"
"ǫ̅́","ǭ́"
"ǫ︤́","ǭ́"
"ǫ︥́","ǭ́"
"o̅","ō"
"o︤","ō"
"o︥","ō"
"o¯","ō"
"o‾","ō"
"u̅","ū"
"u︤","ū"
"u︥","ū"
"u¯","ū"
"u‾","ū"
"̒","ʼ"
"̓","ʼ"
"̔","ʼ"
"̕","ʼ"
"ˈ","ʼ"
"’","ʼ"
"՚","ʼ"
"k̓","kʼ"
"k̕","kʼ"
"k'","kʼ"
"kˈ","kʼ"
"k＇","kʼ"
"k’","kʼ"
"k՚","kʼ"
"ǫ̅","ǭ"
"ǫ︤","ǭ"
"ǫ︥","ǭ"
"ǫ¯","ǭ"
"ǫ‾","ǭ"
"e̅","ē"
"e︤","ē"
"e︥","ē"
"e¯","ē"
"e‾","ē"
"t̔","tʼ"
"t̕","tʼ"
"t＇","tʼ"
"t'","tʼ"
"tˈ","tʼ"
"t’","tʼ"
"t՚","tʼ"
"t̒","tʼ"
"t̓","tʼ"
