Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","aa",""
"3","b",""
"4","b̓",""
"5","c",""
"6","c̓",""
"7","č",""
"8","č̓",""
"9","d",""
"10","d̓",""
"11","e",""
"12","ee",""
"13","h",""
"14","i",""
"15","ii",""
"16","k",""
"17","kʷ",""
"18","k̓",""
"19","k̓ʷ",""
"20","l",""
"21","l̓",""
"22","ł",""
"23","ƛ",""
"24","ƛ̓",""
"25","m",""
"26","m̓",""
"27","n",""
"28","n̓",""
"29","o",""
"30","oo",""
"31","p",""
"32","p̓",""
"33","q",""
"34","qʷ",""
"35","q̓",""
"36","q̓ʷ",""
"37","s",""
"38","š",""
"39","t",""
"40","t̓",""
"41","u",""
"42","uu",""
"43","w",""
"44","w̓",""
"45","x",""
"46","xʷ",""
"47","x̣",""
"48","x̣ʷ",""
"49","y",""
"50","y̓",""
"51","ʔ",""
"52","ʕ",""
