Confusable,Canonical Character
"dˈ","d̓"
"d̕","d̓"
"d̒","d̓"
"d̔","d̓"
"dʼ","d̓"
"d’","d̓"
"d՚","d̓"
"t̔","t̓"
"t’","t̓"
"t՚","t̓"
"tʼ","t̓"
"t̍","t̓"
"t̒","t̓"
"t̕","t̓"
"bˈ","b̓"
"b̕","b̓"
"b̒","b̓"
"b̔","b̓"
"bʼ","b̓"
"b’","b̓"
"b՚","b̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"l̸","ł"
"l̷","ł"
"č̕","č̓"
"čˈ","č̓"
"č’","č̓"
"č՚","č̓"
"čʼ","č̓"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"c̔","c̓"
"c̕","c̓"
"cˈ","c̓"
"c’","c̓"
"c՚","c̓"
"cʼ","c̓"
"c̒","c̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"l̍","l̓"
"l̒","l̓"
"l̔","l̓"
"l̕","l̓"
"λ̸","ƛ"
"λ̷","ƛ"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"ƛʼ","ƛ̓"
"ƛ̍","ƛ̓"
"ƛ̒","ƛ̓"
"ƛ̕","ƛ̓"
"ƛ̔","ƛ̓"
"ƛ’","ƛ̓"
"ƛ՚","ƛ̓"
"kʼ","k̓"
"k̍","k̓"
"k̒","k̓"
"k̕","k̓"
"k̔","k̓"
"k’","k̓"
"k՚","k̓"
"k̒ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"kʼʷ","k̓ʷ"
"k՚ʷ","k̓ʷ"
"k’ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"q̕ʷ","q̓ʷ"
"q̒ʷ","q̓ʷ"
"q̔ʷ","q̓ʷ"
"q̍ʷ","q̓ʷ"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
