Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","aa",""
"3","b",""
"4","d",""
"5","e",""
"6","ee",""
"7","g",""
"8","gw",""
"9","g̱",""
"10","h",""
"11","hl",""
"12","i",""
"13","ii",""
"14","j",""
"15","k",""
"16","k'",""
"17","kw",""
"18","kw'",""
"19","ḵ",""
"20","ḵ'",""
"21","l",""
"22","'l",""
"23","m",""
"24","'m",""
"25","n",""
"26","'n",""
"27","o",""
"28","oo",""
"29","p",""
"30","p'",""
"31","s",""
"32","t",""
"33","t'",""
"34","tl'",""
"35","ts",""
"36","ts'",""
"37","u",""
"38","uu",""
"39","w",""
"40","'w",""
"41","x",""
"42","xw",""
"43","x̱",""
"44","y",""
"45","'y",""
"46","'",""
