Sort Order,Character,Approximate Latin Form(s)
"1","b",""
"2","p",""
"3","p̓",""
"4","d",""
"5","t",""
"6","t̓",""
"7","z",""
"8","c",""
"9","c̓",""
"10","s",""
"11","λ","dh, DH"
"12","ƛ","th, TH"
"13","ƛ̓","t̓h, T̓H"
"14","ɫ","lh, LH"
"15","g",""
"16","k",""
"17","k̓",""
"18","x",""
"19","gv",""
"20","kv",""
"21","k̓v",""
"22","xv",""
"23","ǧv",""
"24","qv",""
"25","q̓v",""
"26","x̌v",""
"27","ǧ",""
"28","q",""
"29","q̓",""
"30","x̌",""
"31","m",""
"32","ṃ́",""
"33","ṃ",""
"34","m̓",""
"35","ṃ̓",""
"36","n",""
"37","ṇ́",""
"38","ṇ",""
"39","n̓",""
"40","ṇ̓",""
"41","l",""
"42","ḷ́",""
"43","ḷ",""
"44","l̓",""
"45","ḷ̓",""
"46","y",""
"47","í",""
"48","i",""
"49","y̓",""
"50","i̓",""
"51","w",""
"52","ú",""
"53","u",""
"54","w̓",""
"55","u̓",""
"56","h",""
"57","á",""
"58","a",""
"59","h̓",""
"60","a̓",""
"61","ħ",""
"62","ʔ","’"
