Base Character,Variant
"b","B"
"p","P"
"p̓","P̓"
"d","D"
"t","T"
"t̓","T̓"
"z","Z"
"c","C"
"c̓","C̓"
"s","S"
"λ","⅄"
"ɫ","Ɫ"
"g","G"
"k","K"
"k̓","K̓"
"x","X"
"gv","GV"
"kv","KV"
"k̓v","K̓V"
"xv","XV"
"ǧv","ǦV"
"qv","QV"
"q̓v","Q̓V"
"x̌v","X̌V"
"ǧ","Ǧ"
"q","Q"
"q̓","Q̓"
"x̌","X̌"
"m","M"
"ṃ́","Ṃ́"
"ṃ","Ṃ"
"m̓","M̓"
"ṃ̓","Ṃ̓"
"n","N"
"ṇ́","Ṇ́"
"ṇ","Ṇ"
"n̓","N̓"
"ṇ̓","Ṇ̓"
"l","L"
"ḷ́","Ḷ́"
"ḷ","Ḷ"
"l̓","L̓"
"ḷ̓","Ḷ̓"
"y","Y"
"í","Í"
"i","I"
"y̓","Y̓"
"i̓","I̓"
"w","W"
"ú","Ú"
"u","U"
"w̓","W̓"
"u̓","U̓"
"h","H"
"á","Á"
"a","A"
"h̓","H̓"
"a̓","A̓"
"ħ","Ħ"
