Confusable,Canonical Character
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"uˈ","u̓"
"u̕","u̓"
"u̒","u̓"
"u̔","u̓"
"uʼ","u̓"
"u’","u̓"
"u՚","u̓"
"c̔","c̓"
"c̕","c̓"
"cˈ","c̓"
"c’","c̓"
"c՚","c̓"
"cʼ","c̓"
"c̒","c̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"λ̷","ƛ"
"λ̸","ƛ"
"iˈ","i̓"
"i̕","i̓"
"i̒","i̓"
"i̔","i̓"
"iʼ","i̓"
"i’","i̓"
"i՚","i̓"
"q̕v","q̓v"
"q̔v","q̓v"
"q̒v","q̓v"
"q̍v","q̓v"
"ğv","ǧv"
"Ɂ","ʔ"
"ɂ","ʔ"
"ॽ","ʔ"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"ṇˈ","ṇ̓"
"ṇ̕","ṇ̓"
"ṇ̒","ṇ̓"
"ṇ̔","ṇ̓"
"ṇʼ","ṇ̓"
"ṇ’","ṇ̓"
"ṇ՚","ṇ̓"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"a̒","a̓"
"a̔","a̓"
"a̕","a̓"
"aˈ","a̓"
"a’","a̓"
"a՚","a̓"
"aʼ","a̓"
"ƛ́","ƛ̓"
"ƛ̒","ƛ̓"
"ƛ̔","ƛ̓"
"ƛ̕","ƛ̓"
"ƛ̍","ƛ̓"
"ğ","ǧ"
"l̍","l̓"
"l̒","l̓"
"l̔","l̓"
"l̕","l̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"ḷˈ","ḷ̓"
"ḷ̕","ḷ̓"
"ḷ̒","ḷ̓"
"ḷ̔","ḷ̓"
"ḷʼ","ḷ̓"
"ḷ’","ḷ̓"
"ḷ՚","ḷ̓"
"ṃˈ","ṃ̓"
"ṃ̕","ṃ̓"
"ṃ̒","ṃ̓"
"ṃ̔","ṃ̓"
"ṃʼ","ṃ̓"
"ṃ’","ṃ̓"
"ṃ՚","ṃ̓"
"hˈ","h̓"
"h̕","h̓"
"h̒","h̓"
"h̔","h̓"
"hʼ","h̓"
"h’","h̓"
"h՚","h̓"
"Y̍","Y̓"
"Y’","Y̓"
"Y՚","Y̓"
"Yʼ","Y̓"
"Y̒","Y̓"
"Y̔","Y̓"
"Y̕","Y̓"
"Yˈ","Y̓"
"Uˈ","U̓"
"U̕","U̓"
"U̒","U̓"
"U̔","U̓"
"Uʼ","U̓"
"U’","U̓"
"U՚","U̓"
"KˈV","K̓V"
"K̕V","K̓V"
"K̒V","K̓V"
"K̔V","K̓V"
"KʼV","K̓V"
"ЌV","K̓V"
"K’V","K̓V"
"K՚V","K̓V"
"C̔","C̓"
"C̕","C̓"
"Cˈ","C̓"
"C’","C̓"
"C՚","C̓"
"Cʼ","C̓"
"C̒","C̓"
"Nˈ","N̓"
"N̕","N̓"
"N̒","N̓"
"N̔","N̓"
"Nʼ","N̓"
"N’","N̓"
"N՚","N̓"
"N̍","N̓"
"Iˈ","I̓"
"I̕","I̓"
"I̒","I̓"
"I̔","I̓"
"Iʼ","I̓"
"I’","I̓"
"I՚","I̓"
"QˈV","Q̓V"
"Q̕V","Q̓V"
"Q̒V","Q̓V"
"Q̔V","Q̓V"
"QʼV","Q̓V"
"Q’V","Q̓V"
"Q՚V","Q̓V"
"Kʼ","K̓"
"K̒","K̓"
"K̔","K̓"
"K̕","K̓"
"Ќ","K̓"
"Kˈ","K̓"
"K’","K̓"
"K՚","K̓"
"Ṇˈ","Ṇ̓"
"Ṇ̕","Ṇ̓"
"Ṇ̒","Ṇ̓"
"Ṇ̔","Ṇ̓"
"Ṇʼ","Ṇ̓"
"Ṇ’","Ṇ̓"
"Ṇ՚","Ṇ̓"
"Q̒","Q̓"
"Q̔","Q̓"
"Q̕","Q̓"
"Qˈ","Q̓"
"Q’","Q̓"
"Q՚","Q̓"
"Qʼ","Q̓"
"Aˈ","A̓"
"A̕","A̓"
"A̒","A̓"
"A̔","A̓"
"Aʼ","A̓"
"A’","A̓"
"A՚","A̓"
"Lˈ","L̓"
"L̕","L̓"
"L̒","L̓"
"L̔","L̓"
"Lʼ","L̓"
"L’","L̓"
"L՚","L̓"
"M̍","M̓"
"M̒","M̓"
"M̔","M̓"
"M̕","M̓"
"Mˈ","M̓"
"M’","M̓"
"M՚","M̓"
"Mʼ","M̓"
"T̔","T̓"
"T̕","T̓"
"Tˈ","T̓"
"T’","T̓"
"T՚","T̓"
"Tʼ","T̓"
"T̒","T̓"
"P̒","P̓"
"P̔","P̓"
"P̕","P̓"
"Pˈ","P̓"
"P’","P̓"
"P՚","P̓"
"Pʼ","P̓"
"W̍","W̓"
"Wˈ","W̓"
"W’","W̓"
"W՚","W̓"
"Wʼ","W̓"
"W̒","W̓"
"W̔","W̓"
"W̕","W̓"
"Ḷˈ","Ḷ̓"
"Ḷ̕","Ḷ̓"
"Ḷ̒","Ḷ̓"
"Ḷ̔","Ḷ̓"
"Ḷʼ","Ḷ̓"
"Ḷ’","Ḷ̓"
"Ḷ՚","Ḷ̓"
"Ṃˈ","Ṃ̓"
"Ṃ̕","Ṃ̓"
"Ṃ̒","Ṃ̓"
"Ṃ̔","Ṃ̓"
"Ṃʼ","Ṃ̓"
"Ṃ’","Ṃ̓"
"Ṃ՚","Ṃ̓"
"Hˈ","H̓"
"H̕","H̓"
"H̒","H̓"
"H̔","H̓"
"Hʼ","H̓"
"H’","H̓"
"H՚","H̓"
