Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","’a",""
"3","b",""
"4","c",""
"5","c̓",""
"6","d",""
"7","e",""
"8","’e",""
"9","g",""
"10","ḡ",""
"11","ḡ°",""
"12","g°",""
"13","h",""
"14","i",""
"15","’i",""
"16","k",""
"17","k̓",""
"18","k̓°",""
"19","k°",""
"20","l",""
"21","l̓",""
"22","m",""
"23","m̓",""
"24","n",""
"25","n̓",""
"26","o",""
"27","’o",""
"28","p",""
"29","p̓",""
"30","q",""
"31","q̓",""
"32","q̓°",""
"33","q°",""
"34","s",""
"35","t",""
"36","t̓",""
"37","u",""
"38","’u",""
"39","w",""
"40","w̓",""
"41","x",""
"42","x̄",""
"43","x̄°",""
"44","x°",""
"45","y",""
"46","y̓",""
"47","z",""
"48","ˈ",""
"49","’",""
"50","°",""
