Confusable,Canonical Character
"ʼe","’e"
"՚e","’e"
"＇e","’e"
"'e","’e"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"x̅","x̄"
"x︤","x̄"
"x︥","x̄"
"x¯","x̄"
"x‾","x̄"
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"c̔","c̓"
"c̕","c̓"
"c̍","c̓"
"c̒","c̓"
"'","ˈ"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"ʼo","’o"
"՚o","’o"
"＇o","’o"
"'o","’o"
"g̅","ḡ"
"g︤","ḡ"
"g︥","ḡ"
"g¯","ḡ"
"g‾","ḡ"
"ʼa","’a"
"՚a","’a"
"＇a","’a"
"'a","’a"
"ʼu","’u"
"՚u","’u"
"＇u","’u"
"'u","’u"
"l̍","l̓"
"l̒","l̓"
"l̔","l̓"
"l̕","l̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"ẁ","w̓"
"ʼi","’i"
"՚i","’i"
"＇i","’i"
"'i","’i"
"x̅°","x̄°"
"x︤°","x̄°"
"x︥°","x̄°"
"x¯°","x̄°"
"x‾°","x̄°"
"＇","’"
"՚","’"
"ʼ","’"
"×","x"
