Sort Order,Character,Approximate Latin Form(s)
"101","'",""
"102",":",""
"103","a",""
"104","ch",""
"105","ch'",""
"106","e",""
"107","h",""
"108","i",""
"109","k",""
"110","k'",""
"111","kw",""
"112","kw'",""
"113","l",""
"114","lh",""
"115","m",""
"116","o",""
"117","ō",""
"118","p",""
"119","p'",""
"120","q",""
"121","q'",""
"122","qw",""
"123","qw'",""
"124","s",""
"125","sh",""
"126","t",""
"127","t'",""
"128","th",""
"129","th'",""
"130","tl'",""
"131","ts",""
"132","ts'",""
"133","u",""
"134","w",""
"135","x",""
"136","xw",""
"137","x̱",""
"138","x̱w",""
"139","y",""
