Base Character,Variant
"a","Á"
"a","À"
"a","à"
"a","á"
"a","A"
"ch","Ch"
"ch'","Ch'"
"e","E"
"e","È"
"e","è"
"e","É"
"e","é"
"h","H"
"i","I"
"i","Ì"
"i","ì"
"i","Í"
"i","í"
"k","K"
"k'","K'"
"kw","Kw"
"kw'","Kw'"
"l","L"
"lh","Lh"
"m","M"
"o","ó"
"o","Ò"
"o","ò"
"o","Ó"
"o","O"
"ō","ô"
"ō","Ō"
"ō","Ô"
"p","P"
"p'","P'"
"q","Q"
"q'","Q'"
"qw","Qw"
"qw'","Qw'"
"s","S"
"sh","Sh"
"t","T"
"t'","T'"
"th","Th"
"th'","Th'"
"tl'","Tl'"
"ts","Ts"
"ts'","Ts'"
"u","ú"
"u","Ù"
"u","ù"
"u","Ú"
"u","U"
"w","W"
"x","X"
"xw","Xw"
"x̱","X̱"
"x̱w","X̱w"
"y","Y"
