Confusable,Canonical Character
"t＇","t'"
"t’","t'"
"tʼ","t'"
"t՚","t'"
"t̔","t'"
"t̕","t'"
"tˈ","t'"
"t̒","t'"
"t̓","t'"
"x̲","x̱"
"x̠","x̱"
"x_","x̱"
"ts＇","ts'"
"ts’","ts'"
"tsʼ","ts'"
"ts՚","ts'"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"tl＇","tl'"
"tl’","tl'"
"tlʼ","tl'"
"tl՚","tl'"
"tlˈ","tl'"
"tl̓","tl'"
"tl̒","tl'"
"tl̕","tl'"
"tl̔","tl'"
"k＇","k'"
"k’","k'"
"kʼ","k'"
"k՚","k'"
"k̒","k'"
"k̓","k'"
"k̔","k'"
"k̕","k'"
"kˈ","k'"
"th＇","th'"
"th’","th'"
"thʼ","th'"
"th՚","th'"
"x̠w","x̱w"
"x̲w","x̱w"
"x_w","x̱w"
"o̅y","ōy"
"o︤y","ōy"
"o︥y","ōy"
"o¯y","ōy"
"o‾y","ōy"
"o̅","ō"
"o︤","ō"
"o︥","ō"
"o¯","ō"
"o‾","ō"
"p＇","p'"
"p’","p'"
"pʼ","p'"
"p՚","p'"
"p̒","p'"
"p̓","p'"
"p̔","p'"
"p̕","p'"
"p̍","p'"
"q＇","q'"
"q’","q'"
"qʼ","q'"
"q՚","q'"
"o̅w","ōw"
"o︤w","ōw"
"o︥w","ōw"
"o¯w","ōw"
"o‾w","ōw"
"ch＇","ch'"
"ch’","ch'"
"chʼ","ch'"
"ch՚","ch'"
"kw＇","kw'"
"kw’","kw'"
"kwʼ","kw'"
"kw՚","kw'"
"kw̓","kw'"
"kw̒","kw'"
"kw̕","kw'"
"kw̔","kw'"
"kwˈ","kw'"
"qw＇","qw'"
"qw’","qw'"
"qwʼ","qw'"
"qw՚","qw'"
"＇","'"
"’","'"
"ʼ","'"
"՚","'"
