Sort Order,Character,Approximate Latin Form(s)
"1","a","u"
"2","aa","u"
"3","c","ts"
"4","c̓","ts"
"5","č","ch"
"6","č̓","ch"
"7","h","h"
"8","ḥ","h"
"9","i","ee"
"10","ii","ee"
"11","k","q"
"12","k̓","q"
"13","kʷ","kw"
"14","k̓ʷ","kw"
"15","ł","thl"
"16","ƛ","tl"
"17","ƛ̓","tl"
"18","m","m"
"19","m̓","m"
"20","n","n"
"21","n̓","n"
"22","p","p"
"23","p̓","p"
"24","q","k"
"25","qʷ","kw"
"26","s","s"
"27","š","sh"
"28","t","t"
"29","t̓","d"
"30","u","oo"
"31","uu","oo"
"32","w","w"
"33","w̓","w"
"34","x","gh"
"35","x̣","gh"
"36","xʷ","ghw"
"37","x̣ʷ","ghw"
"38","y","y"
"39","y̓","y"
"40","ʕa","u"
"41","ʕi","ay"
"42","ʕu","o"
"43","ʔ","U"
"44","ee","ay"
