Confusable,Canonical Character
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"ƛ̍","ƛ̓"
"λ̸̕","ƛ̓"
"λ̷̔","ƛ̓"
"ƛ̒","ƛ̓"
"λ̷̕","ƛ̓"
"λ̷̒","ƛ̓"
"ƛ̔","ƛ̓"
"λ̸̔","ƛ̓"
"λ̷̓","ƛ̓"
"ƛ̕","ƛ̓"
"λ̸̒","ƛ̓"
"λ̸̍","ƛ̓"
"λ̷̍","ƛ̓"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"čˈ","č̓"
"č̕","č̓"
"č̒","č̓"
"č̔","č̓"
"čʼ","č̓"
"č’","č̓"
"č՚","č̓"
"č̍","č̓"
"λ̸","ƛ"
"λ̷","ƛ"
"l̸","ł"
"l̷","ł"
"c̔","c̓"
"c̕","c̓"
"cˈ","c̓"
"c’","c̓"
"c՚","c̓"
"cʼ","c̓"
"c̒","c̓"
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"k̒ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
