Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","aa",""
"3","aaw",""
"4","aay",""
"5","ah",""
"6","an",""
"7","ang",""
"8","aw",""
"9","ay",""
"10","b",""
"11","ch",""
"12","d",""
"13","dl",""
"14","g",""
"15","g̱",""
"16","h",""
"17","hl",""
"18","hll",""
"19","i",""
"20","ii",""
"21","j",""
"22","k",""
"23","k'",""
"24","ḵ",""
"25","ḵ'",""
"26","l",""
"27","ll",""
"28","'l",""
"29","m",""
"30","n",""
"31","ng.",""
"32","o",""
"33","p",""
"34","s",""
"35","t",""
"36","t'",""
"37","tl",""
"38","tll",""
"39","tl'",""
"40","ts'",""
"41","u",""
"42","uu",""
"43","w",""
"44","x",""
"45","x̱",""
"46","y",""
"47","’",""
