Confusable,Canonical Character
"x_","x̱"
"x̠","x̱"
"x̲","x̱"
"tl’","tl'"
"tlˈ","tl'"
"tl՚","tl'"
"tlʼ","tl'"
"tl̓","tl'"
"tl̒","tl'"
"tl̕","tl'"
"tl＇","tl'"
"tl̔","tl'"
"t̔","t'"
"t̕","t'"
"t＇","t'"
"tˈ","t'"
"t’","t'"
"t՚","t'"
"tʼ","t'"
"t̒","t'"
"t̓","t'"
"kʼ","k'"
"k̒","k'"
"k̓","k'"
"k̔","k'"
"k̕","k'"
"k＇","k'"
"kˈ","k'"
"k’","k'"
"k՚","k'"
"ḵ̕","ḵ'"
"k_’","ḵ'"
"k̠ʼ","ḵ'"
"ḵ’","ḵ'"
"k_՚","ḵ'"
"k̲’","ḵ'"
"k̲՚","ḵ'"
"ḵʼ","ḵ'"
"ḵ＇","ḵ'"
"ḵˈ","ḵ'"
"k̠՚","ḵ'"
"k̠’","ḵ'"
"k_ʼ","ḵ'"
"ḵ̓","ḵ'"
"ḵ̒","ḵ'"
"ḵ̔","ḵ'"
"k̲ʼ","ḵ'"
"ḵ՚","ḵ'"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"ts՚","ts'"
"ts＇","ts'"
"ts’","ts'"
"tsʼ","ts'"
"k̲","ḵ"
"k̠","ḵ"
"k_","ḵ"
"＇l","'l"
"’l","'l"
"ʼl","'l"
"ˈl","'l"
"՚l","'l"
"̒","’"
"̓ ̕","’"
"̔","’"
"＇","’"
"ˈ","’"
"՚","’"
"ʼ","’"
"'","’"
"g_","g̱"
"g̠","g̱"
"g̲","g̱"
"k'","k'"
"ḵ'","ḵ'"
"'l","'l"
"t'","t'"
"tl'","tl'"
"ts'","ts'"
"’","’"
