Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"3","aw",""
"4","ay",""
"6","č",""
"7","č̓",""
"8","e",""
"9","ɛ",""
"10","ə",""
"11","əw",""
"12","əy",""
"13","g",""
"15","h",""
"16","i",""
"17","ɩ",""
"18","ǰ",""
"19","k",""
"20","k̓",""
"21","kʷ",""
"22","k̓ʷ",""
"25","l",""
"26","l̓",""
"27","ɬ",""
"28","ƛ",""
"29","ƛ̓",""
"30","m",""
"31","m̓",""
"32","n",""
"33","n̓",""
"34","o",""
"36","p",""
"37","p̓",""
"38","q",""
"39","q̓",""
"40","qʷ",""
"41","q̓ʷ",""
"42","s",""
"43","š",""
"44","t",""
"45","t̓",""
"46","θ",""
"47","tᶿ",""
"48","t̓ᶿ",""
"49","u",""
"50","ʊ",""
"51","w",""
"52","w̓",""
"53","χ",""
"54","χʷ",""
"55","xʷ",""
"56","y",""
"57","y̓",""
"58","ʔ",""
