Confusable,Canonical Character
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"ı","ɩ"
"t̒ᶿ","t̓ᶿ"
"t̍ᶿ","t̓ᶿ"
"t̕ᶿ","t̓ᶿ"
"t̔ᶿ","t̓ᶿ"
"tᶿ̓","t̓ᶿ"
"t́ᶿ","t̓ᶿ"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"ṕ","p̓"
"Θ","θ"
"ϴ","θ"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"q́","q̓"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"č̍","č̓"
"č̒","č̓"
"č̔","č̓"
"č̕","č̓"
"č’","č̓"
"č՚","č̓"
"čʼ","č̓"
"čˈ","č̓"
"č́","č̓"
"Χ","χ"
"l̍","l̓"
"l̒","l̓"
"l̔","l̓"
"l̕","l̓"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"ḱ","k̓"
"q̕ʷ","q̓ʷ"
"q̒ʷ","q̓ʷ"
"q̔ʷ","q̓ʷ"
"q̍ʷ","q̓ʷ"
"k̒ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"ḱʷ","k̓ʷ"
"l̵","ɬ"
"λ̸","ƛ"
"λ̷","ƛ"
"Χʷ","χʷ"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"ǝ","ə"
"ƛ̍","ƛ̓"
"λ̸̕","ƛ̓"
"λ̷̔","ƛ̓"
"ƛ̒","ƛ̓"
"λ̷̕","ƛ̓"
"λ̷̒","ƛ̓"
"ƛ̔","ƛ̓"
"λ̸̔","ƛ̓"
"λ̷̓","ƛ̓"
"ƛ̕","ƛ̓"
"λ̸̒","ƛ̓"
"λ̸̍","ƛ̓"
"λ̷̍","ƛ̓"
