Confusable,Canonical Character
"qw’","qw'"
"qw＇","qw'"
"qw՚","qw'"
"qwʼ","qw'"
"tl’","tl'"
"tlˈ","tl'"
"tl՚","tl'"
"tlʼ","tl'"
"tl̓","tl'"
"tl̒","tl'"
"tl̕","tl'"
"tl＇","tl'"
"tl̔","tl'"
"q＇","q'"
"q’","q'"
"q՚","q'"
"qʼ","q'"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"ts՚","ts'"
"ts＇","ts'"
"ts’","ts'"
"tsʼ","ts'"
"tthʼ","tth'"
"tth՚","tth'"
"tthˈ","tth'"
"tth’","tth'"
"tth＇","tth'"
"tth̔","tth'"
"tth̕","tth'"
"tth̒","tth'"
"tth̓","tth'"
"p̒","p'"
"p̓","p'"
"p̔","p'"
"p̕","p'"
"p＇","p'"
"p’","p'"
"p՚","p'"
"pʼ","p'"
"p̍","p'"
"ch＇","ch'"
"ch՚","ch'"
"ch’","ch'"
"chʼ","ch'"
"＇","'"
"’","'"
"՚","'"
"ʼ","'"
"‘","'"
"t̔","t'"
"t̕","t'"
"t＇","t'"
"tˈ","t'"
"t’","t'"
"t՚","t'"
"tʼ","t'"
"t̒","t'"
"t̓","t'"
"kwʼ","kw'"
"kw̓","kw'"
"kw̒","kw'"
"kw̕","kw'"
"kw＇","kw'"
"kw̔","kw'"
"kw’","kw'"
"kwˈ","kw'"
"kw՚","kw'"
