Sort Order,Character,Approximate Latin Form(s)
"1","’",""
"2","a",""
"3","aa",""
"4","ch",""
"5","ch’",""
"6","e",""
"7","ee",""
"8","h",""
"9","hw",""
"10","i",""
"11","ii",""
"12","k",""
"13","kw",""
"14","kw’",""
"15","l",""
"16","lh",""
"17","m",""
"18","n",""
"19","ou",""
"20","oo",""
"21","p",""
"22","p’",""
"23","q",""
"24","q’",""
"25","qw",""
"26","qw’",""
"27","s",""
"28","sh",""
"29","t",""
"30","t’",""
"31","th",""
"32","tl’",""
"33","ts",""
"34","ts’",""
"35","tth",""
"36","tth’",""
"37","u",""
"38","w",""
"39","x",""
"40","xw",""
"41","y",""
