Confusable,Canonical Character
"p̒","p’"
"p̔","p’"
"p̓","p’"
"p̕","p’"
"p̍","p’"
"p'","p’"
"̒","’"
"̓ ̕","’"
"̔","’"
"'","’"
"＇","’"
"ˈ","’"
"՚","’"
"ʼ","’"
"ch̓","ch’"
"ch̕","ch’"
"ch̒","ch’"
"ch̔","ch’"
"chʼ","ch’"
"chˈ","ch’"
"ch՚","ch’"
"ch＇","ch’"
"ch'","ch’"
"qw＇","qw’"
"qw'","qw’"
"qwʼ","qw’"
"qw՚","qw’"
"ts＇","ts’"
"ts'","ts’"
"ts̓","ts’"
"ts̕","ts’"
"ts̒","ts’"
"ts̔","ts’"
"tsʼ","ts’"
"tsˈ","ts’"
"ts՚","ts’"
"tl＇","tl’"
"tl'","tl’"
"tl̓","tl’"
"tl̕","tl’"
"tl̒","tl’"
"tl̔","tl’"
"tlʼ","tl’"
"tlˈ","tl’"
"tl՚","tl’"
"kw＇","kw’"
"kw'","kw’"
"kw̓","kw’"
"kw̕","kw’"
"kw̒","kw’"
"kw̔","kw’"
"kwʼ","kw’"
"kwˈ","kw’"
"kw՚","kw’"
"q＇","q’"
"q'","q’"
"qʼ","q’"
"q՚","q’"
"t＇","t’"
"t'","t’"
"t̓","t’"
"t̕","t’"
"t̒","t’"
"t̔","t’"
"tʼ","t’"
"tˈ","t’"
"t՚","t’"
"tth̓","tth’"
"tth̕","tth’"
"tth̒","tth’"
"tth̔","tth’"
"tthʼ","tth’"
"tthˈ","tth’"
"tth՚","tth’"
"tth＇","tth’"
"tth'","tth’"
