Sort Order,Character,Approximate Latin Form(s)
"1","ɂ",""
"2","a",""
"3","á",""
"4","ą",""
"5","ą́",""
"6","b",""
"7","ch'",""
"8","d",""
"9","dl",""
"10","dz",""
"11","e",""
"12","é",""
"13","ę",""
"14","ǝ",""
"15","ǝ́",""
"16","f",""
"17","g",""
"18","gh",""
"19","gw",""
"20","h",""
"21","ı",""
"22","ı́",""
"23","ı̨",""
"24","ı̨́",""
"25","j",""
"26","k",""
"27","k'",""
"28","l",""
"29","ł",""
"30","m",""
"31","n",""
"32","o",""
"33","ó",""
"34","ǫ",""
"35","ǫ́",""
"36","r",""
"37","s",""
"38","sh",""
"39","tł'",""
"40","t",""
"41","t'",""
"42","ts'",""
"43","u",""
"44","ú",""
"45","ų",""
"46","w",""
"47","w'",""
"48","x",""
"49","y",""
"50","z",""
"51","zh",""
