Confusable,Canonical Character
"t̔","t'"
"t̕","t'"
"t＇","t'"
"tˈ","t'"
"t’","t'"
"t՚","t'"
"tʼ","t'"
"t̒","t'"
"t̓","t'"
"tł＇","tł'"
"tł’","tł'"
"tł̕","tł'"
"tł̒","tł'"
"tł̔","tł'"
"tłʼ","tł'"
"tłˈ","tł'"
"tł՚","tł'"
"l̸","ł"
"l̷","ł"
"ch＇","ch'"
"ch՚","ch'"
"ch’","ch'"
"chʼ","ch'"
"ɩ́","ı́"
"í","ı́"
"kʼ","k'"
"k̒","k'"
"k̓","k'"
"k̔","k'"
"k̕","k'"
"k＇","k'"
"kˈ","k'"
"k’","k'"
"k՚","k'"
"ɩ̨","ı̨"
"ɩ","ı"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"ts՚","ts'"
"ts＇","ts'"
"ts’","ts'"
"tsʼ","ts'"
"ɩ̨́","ı̨́"
"w＇","w'"
"w’","w'"
"w̓","w'"
"w̕","w'"
"w̒","w'"
"w̔","w'"
"wʼ","w'"
"wˈ","w'"
"w՚","w'"
"ˀ","ɂ"
"ॽ","ɂ"
"T’","T'"
"T՚","T'"
"Tʼ","T'"
"T̔","T'"
"T̕","T'"
"T＇","T'"
"Tˈ","T'"
"T̒","T'"
"T̓","T'"
"Tł＇","Tł'"
"Tł’","Tł'"
"Tł̓","Tł'"
"Tł̕","Tł'"
"Tł̒","Tł'"
"Tł̔","Tł'"
"Tłʼ","Tł'"
"Tłˈ","Tł'"
"Tł՚","Tł'"
"Tl̸＇","Tł'"
"Tl̸’","Tł'"
"Tl̸̓","Tł'"
"Tl̸̕","Tł'"
"Tl̸̒","Tł'"
"Tl̸̔","Tł'"
"Tl̸ʼ","Tł'"
"Tl̸ˈ","Tł'"
"Tl̸՚","Tł'"
"Tl̷＇","Tł'"
"Tl̷’","Tł'"
"Tl̷̓","Tł'"
"Tl̷̕","Tł'"
"Tl̷̒","Tł'"
"Tl̷̔","Tł'"
"Tl̷ʼ","Tł'"
"Tl̷ˈ","Tł'"
"Tl̷՚","Tł'"
"Tl̸'","Tł'"
"Tl̷'","Tł'"
"L̸","Ł"
"L̷","Ł"
"Ch＇","Ch'"
"Ch’","Ch'"
"Ch̓","Ch'"
"Ch̕","Ch'"
"Ch̒","Ch'"
"Ch̔","Ch'"
"Chʼ","Ch'"
"Chˈ","Ch'"
"Ch՚","Ch'"
"Kʼ","K'"
"K’","K'"
"K՚","K'"
"Ts＇","Ts'"
"Ts’","Ts'"
"Ts̓","Ts'"
"Ts̕","Ts'"
"Ts̒","Ts'"
"Ts̔","Ts'"
"Tsʼ","Ts'"
"Tsˈ","Ts'"
"Ts՚","Ts'"
"W＇","W'"
"W’","W'"
"W̓","W'"
"W̕","W'"
"W̒","W'"
"W̔","W'"
"Wʼ","W'"
"Wˈ","W'"
"W՚","W'"
