Confusable,Canonical Character
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"ƛ̍","ƛ̓"
"λ̸̕","ƛ̓"
"λ̷̔","ƛ̓"
"ƛ̒","ƛ̓"
"λ̷̕","ƛ̓"
"λ̷̒","ƛ̓"
"ƛ̔","ƛ̓"
"λ̸̔","ƛ̓"
"λ̷̓","ƛ̓"
"ƛ̕","ƛ̓"
"λ̸̒","ƛ̓"
"λ̸̍","ƛ̓"
"λ̷̍","ƛ̓"
"ǝ","ə"
"ɤˈ","ɣ̓"
"ɤ̕","ɣ̓"
"ɤ̒","ɣ̓"
"ɤ̔","ɣ̓"
"ɤʼ","ɣ̓"
"ɤ’","ɣ̓"
"ɤ՚","ɣ̓"
"ɣˈ","ɣ̓"
"ɣ̕","ɣ̓"
"ɣ̒","ɣ̓"
"ɣ̔","ɣ̓"
"ɣʼ","ɣ̓"
"ɣ’","ɣ̓"
"ɣ՚","ɣ̓"
"ɤ̓","ɣ̓"
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"Ɂ","ʔ"
"ɂ","ʔ"
"ॽ","ʔ"
"cˈ","c̓"
"c̕","c̓"
"c̒","c̓"
"c̔","c̓"
"cʼ","c̓"
"c’","c̓"
"c՚","c̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"ɤ","ɣ"
"ǝ̣","ə̣"
"ʕˈ","ʕ̓"
"ʕ̕","ʕ̓"
"ʕ̒","ʕ̓"
"ʕ̔","ʕ̓"
"ʕʼ","ʕ̓"
"ʕ’","ʕ̓"
"ʕ՚","ʕ̓"
"ǝ́","ə́"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"q̕ʷ","q̓ʷ"
"q̒ʷ","q̓ʷ"
"q̔ʷ","q̓ʷ"
"q̍ʷ","q̓ʷ"
"k̒ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"lʼ","l̓"
"ĺ","l̓"
"l’","l̓"
"l̕","l̓"
"l̔","l̓"
"l̒","l̓"
"l̍","l̓"
"lˈ","l̓"
"l՚","l̓"
"Ì","l̓"
"ʕˈʷ","ʕ̓ʷ"
"ʕ̕ʷ","ʕ̓ʷ"
"ʕ̒ʷ","ʕ̓ʷ"
"ʕ̔ʷ","ʕ̓ʷ"
"ʕʼʷ","ʕ̓ʷ"
"ʕ’ʷ","ʕ̓ʷ"
"ʕ՚ʷ","ʕ̓ʷ"
"zˈ","z̓"
"z̕","z̓"
"z̒","z̓"
"z̔","z̓"
"zʼ","z̓"
"z’","z̓"
"z՚","z̓"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"l̷","ł"
"l̸","ł"
"O̵","Ɵ"
"O̶","Ɵ"
"N̍","N̓"
"N̒","N̓"
"N̔","N̓"
"N̕","N̓"
"Nˈ","N̓"
"N’","N̓"
"N՚","N̓"
"Nʼ","N̓"
"Ɣˈ","Ɣ̓"
"Ɣ̕","Ɣ̓"
"Ɣ̒","Ɣ̓"
"Ɣ̔","Ɣ̓"
"Ɣʼ","Ɣ̓"
"Ɣ’","Ɣ̓"
"Ɣ՚","Ɣ̓"
"Tˈ","T̓"
"T̕","T̓"
"T̒","T̓"
"T̔","T̓"
"Tʼ","T̓"
"T’","T̓"
"T՚","T̓"
"Qˈ","Q̓"
"Q̕","Q̓"
"Q̒","Q̓"
"Q̔","Q̓"
"Qʼ","Q̓"
"Q’","Q̓"
"Q՚","Q̓"
"Cˈ","C̓"
"C̕","C̓"
