Confusable,Canonical Character
"ǝy","əy"
"k̒ʸ","k̓ʸ"
"k̍ʸ","k̓ʸ"
"k̔ʸ","k̓ʸ"
"k̕ʸ","k̓ʸ"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"λ̸","ƛ"
"λ̷","ƛ"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"ᴐ","ɔ"
"Χ","χ"
"k̒ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"ǝw","əw"
"Θ","θ"
"ϴ","θ"
"ǝ","ə"
"ı","ɩ"
"t̒ᶿ","t̓ᶿ"
"t̍ᶿ","t̓ᶿ"
"t̕ᶿ","t̓ᶿ"
"t̔ᶿ","t̓ᶿ"
"t ̓ᶿ","t̓ᶿ"
"l̵","ɬ"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"ᴐy","ɔy"
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"t ̓","t̓"
"q̕ʷ","q̓ʷ"
"q̒ʷ","q̓ʷ"
"q̔ʷ","q̓ʷ"
"q̍ʷ","q̓ʷ"
"Χʷ","χʷ"
"č̍","č̓"
"č̒","č̓"
"č̔","č̓"
"č̕","č̓"
"č’","č̓"
"č՚","č̓"
"čʼ","č̓"
"čˈ","č̓"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"ƛ̍","ƛ̓"
"λ̸̕","ƛ̓"
"λ̷̔","ƛ̓"
"ƛ̒","ƛ̓"
"λ̷̕","ƛ̓"
"λ̷̒","ƛ̓"
"ƛ̔","ƛ̓"
"λ̸̔","ƛ̓"
"λ̷̓","ƛ̓"
"ƛ̕","ƛ̓"
"λ̸̒","ƛ̓"
"λ̸̍","ƛ̓"
"λ̷̍","ƛ̓"
"ae","æ"
"l̍","l̓"
"l̒","l̓"
"l̔","l̓"
"l̕","l̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
