Confusable,Canonical Character
"aᐧ","a·"
"a⸱","a·"
"a・","a·"
"a･","a·"
"￠","¢"
"ȼ","¢"
"¢̓","¢̕"
"¢ˈ","¢̕"
"¢̒","¢̕"
"¢̔","¢̕"
"¢ʼ","¢̕"
"¢’","¢̕"
"¢՚","¢̕"
"ȼ̓","¢̕"
"ȼˈ","¢̕"
"ȼ̒","¢̕"
"ȼ̔","¢̕"
"ȼʼ","¢̕"
"ȼ’","¢̕"
"ȼ՚","¢̕"
"￠̓","¢̕"
"￠ˈ","¢̕"
"￠̒","¢̕"
"￠̔","¢̕"
"￠ʼ","¢̕"
"￠’","¢̕"
"￠՚","¢̕"
"ᐧ","·"
"・","·"
"･","·"
"ⱡ","ǂ"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"Ɂ","ʔ"
"ɂ","ʔ"
"ॽ","ʔ"
"t̔","t̕"
"t’","t̕"
"t՚","t̕"
"tʼ","t̕"
"t̍","t̕"
"t̒","t̕"
"t̓","t̕"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
