Sort Order,Character,Approximate Latin Form(s)
"1","’",""
"2","a",""
"3","à",""
"4","ą",""
"5","ą̀",""
"6","b",""
"7","ch",""
"8","ch’",""
"9","d",""
"10","dl",""
"11","dz",""
"12","e",""
"13","ę",""
"14","è",""
"15","ę̀",""
"16","g",""
"17","gw",""
"18","h",""
"19","i",""
"20","į",""
"21","ì",""
"22","į̀",""
"23","j",""
"24","ii",""
"25","įį",""
"26","ìì",""
"27","į̀į̀",""
"28","k",""
"29","k’",""
"30","kh",""
"31","gh",""
"32","kw",""
"33","kw’",""
"34","l",""
"35","lh",""
"36","m",""
"37","n",""
"38","o",""
"39","ǫ",""
"40","ò",""
"41","ǫ̀",""
"42","oo",""
"43","ǫǫ",""
"44","òò",""
"45","ǫ̀ǫ̀",""
"46","p",""
"47","s",""
"48","z",""
"49","sh",""
"50","t",""
"51","t’",""
"52","tl",""
"53","tl’",""
"54","ts",""
"55","ts’",""
"56","u",""
"57","ų",""
"58","ù",""
"59","ų̀",""
"60","w",""
"61","yh",""
"62","y",""
"63","zh",""
