Confusable,Canonical Character
"kʼ","k’"
"k̓","k’"
"k̕","k’"
"k'","k’"
"k＇","k’"
"kˈ","k’"
"k՚","k’"
"ḱ","k’"
"ʦ","ts"
"tlˈ","tl’"
"tl՚","tl’"
"tlʼ","tl’"
"tl̓","tl’"
"tl̒","tl’"
"tl̕","tl’"
"tl＇","tl’"
"tl̔","tl’"
"tl'","tl’"
"ʣ","dz"
"t̔","t’"
"t̕","t’"
"t＇","t’"
"t'","t’"
"tˈ","t’"
"t՚","t’"
"tʼ","t’"
"t̒","t’"
"t̓","t’"
"kwʼ","kw’"
"kw̓","kw’"
"kw̒","kw’"
"kw̕","kw’"
"kw＇","kw’"
"kw̔","kw’"
"kw'","kw’"
"kwˈ","kw’"
"kw՚","kw’"
"ch＇","ch’"
"ch̕","ch’"
"chˈ","ch’"
"ch'","ch’"
"ch՚","ch’"
"chʼ","ch’"
"ch̒","ch’"
"ch̔","ch’"
"ch̓","ch’"
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"tsˈ","ts’"
"ts'","ts’"
"ts՚","ts’"
"ts＇","ts’"
"tsʼ","ts’"
"'","’"
"ʼ","’"
"ˈ","’"
"̒","’"
"̓ ̕","’"
"̔","’"
"՚","’"
"＇","’"
