Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","a̱",""
"3","b",""
"4","d",""
"5","dł",""
"6","dz",""
"7","e",""
"8","g",""
"9","gw",""
"10","g̱",""
"11","g̱w",""
"12","h",""
"13","i",""
"14","k",""
"15","kw",""
"16","k̓",""
"17","k̕w",""
"18","ḵ",""
"19","ḵw",""
"20","ḵ̓",""
"21","ḵ̕w",""
"22","l",""
"23","ł",""
"24","m",""
"25","n",""
"26","o",""
"27","p",""
"28","p̓",""
"29","s",""
"30","t",""
"31","t̓",""
"32","ts",""
"33","t̕s",""
"34","tł",""
"35","t̕ł",""
"36","u",""
"37","w",""
"38","x",""
"39","xw",""
"40","x̱",""
"41","x̱w",""
"42","y",""
"43","'",""
