Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","aa",""
"3","c",""
"4","c̓",""
"5","č",""
"6","č̓",""
"7","e",""
"8","ee",""
"9","h",""
"10","ḥ",""
"11","i",""
"12","ii",""
"13","k",""
"14","kʷ",""
"15","k̓",""
"16","k̓ʷ",""
"17","ł",""
"18","ƛ",""
"19","ƛ̓",""
"20","m",""
"21","m̓",""
"22","n",""
"23","n̓",""
"24","o",""
"25","oo",""
"26","p",""
"27","p̓",""
"28","q",""
"29","qʷ",""
"30","s",""
"31","š",""
"32","t",""
"33","t̓",""
"34","u",""
"35","uu",""
"36","w",""
"37","w̓",""
"38","x",""
"39","xʷ",""
"40","x̣",""
"41","x̣ʷ",""
"42","y",""
"43","y̓",""
"44","ʔ",""
"45","ʕ",""
