Slug, FirstVoices Site Name, URL, Language
"cree-saulteau","Cree (Saulteau First Nation)","https://firstvoices.com/cree-saulteau","nēhiyawēwin"
"dakelh-southern-carrier","Dakelh / Southern Carrier","https://firstvoices.com/dakelh-southern-carrier","Dakelh"
"denekeh-kaska","Denek’éh/Kaska","https://firstvoices.com/denekeh-kaska","Danezāgéʼ"
"denekeh-kaska-liard","Denek’éh/Kaska - Lower Liard","https://firstvoices.com/denekeh-kaska-liard","Danezāgéʼ"
"dene-keh-slavey","Dene K’eh/Slavey","https://firstvoices.com/dene-keh-slavey","Dene Kʼe"
"diidiitidq","diiɁdiitidq","https://firstvoices.com/diidiitidq","diitiidʔaaʔtx̣"
"ehattesaht-nuchatlaht","Ehattesaht Nuchatlaht","https://firstvoices.com/ehattesaht-nuchatlaht","nuučaan̓uł"
"gigeenix-gitxsanimx","Gigeenix Gitxsanimx̱","https://firstvoices.com/gigeenix-gitxsanimx","Gitsenimx̱"
"gitsenimx","Gitsenimx̱","https://firstvoices.com/gitsenimx","Gitsenimx̱"
"hailzaqvla","Haíɫzaqvḷa","https://firstvoices.com/hailzaqvla","Haíɫzaqvḷa"
"haisla","Haisla","https://firstvoices.com/haisla","X̄enaksialak̓ala / X̄aʼislak̓ala"
"halqemeylem","Halq'eméylem","https://firstvoices.com/halqemeylem","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"hesquiaht","ḥiškʷiiʔatḥ","https://firstvoices.com/hesquiaht","nuučaan̓uł"
"hlgaagilda-xaayda-kil","Hlg̱aagilda X̱aayda Kil","https://firstvoices.com/hlgaagilda-xaayda-kil","X̱aad Kil / X̱aayda Kil"
"homalco","Homalco","https://firstvoices.com/homalco","Éy7á7juuthem"
"hulquminum","HUL'Q'UMI'NUM'","https://firstvoices.com/hulquminum","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"hwulmuhwqun","hwulmuhwqun","https://firstvoices.com/hwulmuhwqun","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"kahsho-gotine","K’áhshó got’ı̨né xǝdǝ́","https://firstvoices.com/kahsho-gotine","Dene Kʼe"
"kanakabar","nƛ̓əq̓ƛ̓áq̓tn / Kanaka Bar","https://firstvoices.com/kanakabar","Nɬeʔkepmxcín"
"klahoose","Klahoose","https://firstvoices.com/klahoose","Éy7á7juuthem"
"ktunaxa","Ktunaxa","https://firstvoices.com/ktunaxa","Ktunaxa"
