Language Name, Alternate Names, Community Keywords, BCP 47 Language Code
"Anishinaabemowin","Saulteau, Saulteaux, Ojibwe, Ojibway, Ojibwa, Plains Ojibway","Saulteau","oji"
"Dakelh","Dakeł, Carrier, ᑕᗸᒡ, Taculli, Takulie","Binche Whut’en, Cheslatta Carrier, Lheidli-T’enneh, Lhoosk’uz Dene, Lhtako Dene, Nadleh Whut’en, Nak’azdli Whut’en, Nazko, Saik’uz, Stellat’en, Takla Lake, Tl’azt’en, Ts’il Kaz Koh, Ulkatcho, Yekooche, Prince George, Quesnel","crx, caf"
"Dane-Ẕaa","Dane-ẕaa Ẕáágéʔ, Beaver, Dunne-ẕa, ᑕᓀ ᖚ","Zaa- Blueberry River, Doig River, Halfway River, Prophet River, Saulteau, West Moberly","bea"
"Danezāgéʼ","Kaska, Kaska Dena","Daylu Dena, Dease River, Liard","kkz"
"Dene Kʼe","Slavey, Slave, Dene Kʼeh, Dene, Dené, Dené Thaʼ, Dené Dháh, Dene Zhatıé, Achaʼotinne","Fort Nelson","den"
"diitiidʔaaʔtx̣","Diidiitidq, Ditidaht, Nitinaht, Nitinat, Ditidaht-Pacheedaht","Ditidaht, Pacheedaht, Ts'uubaa-asatx, Lake Cowichan, nuuchahnulth, Nuu-chah-nulth","dtd"
"Éy7á7juuthem","Comox, Island Comox, Mainland Comox, Sliammon, Comox-Sliammon","Homalco, Klahoose, K’omoks, Sliammon, Courtenay, Powell River","coo"
"Gitsenimx̱","Gitxsanimx̱, Gitxsanimax̱, Gitksan, Gitxsan, Gitxsen","Anspayaxw, Gitanmaax, Gitanyow, Gitsegukla, Gitwangak, Sik-e-Dakh, Terrace, Prince Rupert","git"
"Haíɫzaqvḷa","Heiltsuk, Xai'xais, Bella Bella, Híɫzaqvḷa, Hailhzaqvla, Haíhlzaqvḷa, Heiltsukv, Heiltsukvla","Heiltsuk, Bella Bella, Kitasoo, Xai’xais, Klemtu","hei"
"Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓","Hulʼqʼumiʼnumʼ, Halqʼeméylem, hən̓q̓əmin̓əm̓, Halkomelem, Island Hulʼqʼumiʼnumʼ, Upriver Halqʼeméylem, Downriver hən̓q̓əmin̓əm̓","Aitchelitz BOḰEĆEN Pauquachin Chawathil Cheam Chehalis Lake Cowichan Halalt Katzie Kwantlen Kwaw-kwaw-apilt Kwikwetlem kʷikʷəƛ̓əm Leq’a:mel Lyackson MÁLEXEȽ Malahat Matsqui Penelakut Peters Popkum Qayqayt Qualicum Scia’new Beecher Bay Scowlitz Seabird Island Shxwhá:y Shxw’owhamel Skawahlook Skowkale Skwah Snaw-naw-as Nanoose Snuneymuxw Soowahlie Squiala Stz’uminus Sumas Tsawwassen Tsleil-Waututh Ts'uubaa-asatx Tzeachten Union Bar xʷməθkʷəy̓əm Musqueam Yakweakwioose Yale Metro Vancouver Chilliwack Abbotsford Nanaimo","hur"
"Ktunaxa","Kootenay, Kootenai, Kutenai","yaqan nuʔkiy, Kootenay, ʔakink̓umǂasnuqǂiʔit, Tobacco Plains, ʔakisq̓nuk, Akisqnuk, ʔaq̓am, St. Mary’s, Cranbrook, Nelson","kut"
"Kwak̕wala","Kwakiutl, Kwakwakaʼwakw","Da’naxda’xw, Dzawada’enuxw, Gwa’sala-’Nakwaxda’xw, Gwawaʼenux̱w, K’omoks, Kwakiutl, Kwiakah, Kwikwasut’inuxw Haxwa’mis, Ławitʼsis, Tlowitsis, Mamalilikulla, ʼNa̱mǥis, Quatsino, Tlatlasikwala, Wei Wai Kai, Wei Wai Kum, Port Hardy, Campbell River","kwk"
"Lingít","Łingít, Tlingit","Taku River, Tlingit","tli"
"Nedutʼen / Witsuwitʼen","Nedutʼen, Nadotʼen, Witsuwitʼen, Babine, Natʼootʼen, Wetʼsuwetʼen, Babine-Witsuwitʼen, Bulkley Valley Language, Lakes District Language","Cheslatta Carrier, Hagwilget, Lake Babine, Nee-Tahi-Buhn, Skin Tyee, Takla Lake, Tsil Kaz Koh, Burns Lake, Wet’suwet’en, Witset","bcr"
"nēhiyawēwin","Nehiyawewin, ᓀᐦᐃᔭᐍᐏᐣ, Plains Cree, Cree","Blueberry River, Fort Nelson, Saulteau, West Moberly, Vancouver","crk"
"Nɬeʔkepmxcín","Nlakaʼpamux, Nlha7kápmx, Thompson Salish","Ashcroft, Boothroyd, Boston Bar, Coldwater, Cook’s Ferry, Kanaka Bar, Lower Nicola, Lytton, Nicomen, Nooaitch, Oregon Jack Creek, Shackan, Siska, Skuppah, Spuzzum, Merritt","thp"
"Nisg̱aʼa","Niska, Nass, Nisgaʼa, Nishga, Niskaʼ, Niskʼaʼ","Gingolx, Gitlaxt’aamiks, Laxgalts’ap, Nisga’a, Gitwinksihlkw, Terrace, Prince Rupert, Vancouver","ncg"
"Nsyilxcən","Okanagan, Colville-Okanagan","Lower Similkameen, Okanagan, Osoyoos, Penticton, Upper Nicola, Upper Similkameen, Westbank, Vernon, Kelowna, Penticton, Osoyoos","oka"
"nuučaan̓uł","Nuu-chah-nulth, Nootka, Nootkans, Tahkaht","nuuchahnulth, Ahousaht, ditidaht, nitinaht, Ehattesaht, Hesquiaht, Hupacasath, Huu-ay-aht, Ka:’yu:’k’t’h’, Che:k:tles7et’h’, Mowachaht/Muchalaht, Nuchatlaht, Tla-o-qui-aht, Toquaht, Tseshaht, Uchucklesaht, Ucluelet, Tofino, Port Alberni","nuk"
"Nuxalk","Bella Coola, Nass","","blc"
"Secwepemctsín","Shuswap, Secwepemc","Esk’etemc, Kenpésq’t, Shuswap, Llenllenéy’ten, High Bar, Pelltíq’t, Whispering Pines, Clinton, Sexqeltqín, Adams Lake, Simpcw, Sk’atsin, Neskonlith, Skeetchestn, Skwlax, Little Shuswap Lake, Splatsin, St’uxwtéws, Bonaparte, Stswécem’c, Canoe Creek, T’éxel’c, Williams Lake, Tk’emlúps, Kamloops, Tsq’éscen, Canim Lake, Xats'ull, Soda Creek, Kamloops, Salmon Arm","shs"
"SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke","SENĆOŦEN, Malchosen, Lekwungen, Semiahmoo, TʼSou-ke, Straits Salish, Northern Straits Salish, Saanich, Tah-tu-lo, Sooke, Songhees","BOḰEĆEN, Pauquachin, MÁLEXEȽ, Malahat, Scia’new, Beecher Bay, SEMYOME, Semiahmoo, Songhees, SȾÁUTW̱, Tsaout, SXIMEȽEȽ, Esquimalt, T’Sou-ke, W̱JOȽEȽP, Tsartlip, W̱SIḴEM, Tseycum, Victoria","str"
"Sgüüx̱s","Southern Tsimshian, Klemtu, Ski:xs, Sgüüx̣s","Kitasoo, Xai’xais, Klemtu","tsi-sou"
"she shashishalhem","sháshishálem, Sechelt","shíshálh, Sechelt","sec"
"Sḵwx̱wú7mesh sníchim","Squamish","Squamish, North Vancouver, West Vancouver","squ"
"Sm'algya̱x","Tsimshian, Coast Tsimshian","Gitga’at, Gitxaala, Kitselas, Kitsumkalum, Lax Kw’alaams, Metlakatla, Terrace, Prince Rupert","tsi"
"Southern Tutchone","Tutchone","Champagne, Aishihik, CAFN","tce"
"St̓át̓imcets","Sƛ̓aƛ̓imxǝc, Ucwalmícwts, Lillooet, St̓át̓imc, Statimc, Stlʼatlʼimx, Stlʼatlʼimc, Sƛʼaƛʼimxǝc, Stlatliumh, Slatlemuk","Líl’wat, N’Quatqua, Samahquam, Sekw’el’was, Cayoose Creek Band, Skatin, T’it’q’et, Ts’kw’aylaxw, Tsal’alh, Seton Lake Band, Xa’xtsa, Douglas, Xaxli’p, Xwísten, Bridge River","lil"
"Tāłtān","Tahltan, Didene kʼeh, Nahanni","Iskut, Tahltan, Dease Lake","tht"
"Tseʼkhene","Sekani, Tsekʼene, Tsekʼehne, Sékanais","Kwadacha, McLeod Lake, Tsay Keh Dene","sek"
"Tsilhqotʼin","Chilcotin, Tsilhqutʼin, Tzilkotin","ʔEsdilagh, Tl’esqox, Tl’etinqox, Tsi Deldel, Ulkatcho, Xeni Gwet’in, Yunesit’in, Williams Lake","clc"
"ʼWuik̓ala","Oowekyala, Wuikyala, ʼUik̓ala, Oowekyala, Oweekʼala, Owekeeno, Owekeno","Wuikinuxv, Rivers Inlet","hei-wui"
"X̱aad Kil / X̱aayda Kil","Haida","Old Massett, Skidegate","hai"
"X̄enaksialak̓ala / X̄aʼislak̓ala","Haisla, Kitimat, Kitlope, Northern Kwakiutl","Haisla, Kitimat","has"
