Sort Order,Character,Approximate Latin Form(s)
"-1","ʔ","̓"
"0","a","a"
"1","ay",""
"2","c","ts"
"3","c̓","ts ̓"
"4","č","ch"
"6","č̓","ch ̓"
"7","e","e"
"8","ey","ey"
"10","ə",""
"11","əw̓","o/u"
"12","h","h"
"13","i","ee/ea"
"14","kʷ","kw"
"15","k̓ʷ","kw ̓"
"16","l","l"
"17","ɬ",""
"18","ƛ̓","tl ̓"
"19","m","m"
"20","n","n"
"21","ŋ","ng"
"22","p","p"
"23","p̓","p ̓"
"24","q","q"
"25","qʷ","qw"
"26","q̓","q ̓"
"27","q̓ʷ","qw ̓"
"28","s","s"
"29","š","sh"
"30","t","t"
"31","t̓","t ̓"
"32","u",""
"33","w","w"
"34","xʷ","hw"
"35","x̣","x"
"36","x̣ʷ","xw"
"37","y","y"
