Confusable,Canonical Character
"ƛ̍","ƛ̓"
"ƛ̒","ƛ̓"
"ƛ̔","ƛ̓"
"ƛ̕","ƛ̓"
"λ̷̍","ƛ̓"
"λ̷̒","ƛ̓"
"λ̷̓","ƛ̓"
"λ̷̔","ƛ̓"
"λ̷̕","ƛ̓"
"λ̸̍","ƛ̓"
"λ̸̒","ƛ̓"
"λ̸̔","ƛ̓"
"λ̸̕","ƛ̓"
"cʼ","c̓"
"cˈ","c̓"
"c̒","c̓"
"c̔","c̓"
"c̕","c̓"
"c՚","c̓"
"c’","c̓"
"ɲ","ŋ"
"Ɂ","ʔ"
"ɂ","ʔ"
"ॽ","ʔ"
"t́","t̓"
"t̍","t̓"
"t̒","t̓"
"t̔","t̓"
"t̕","t̓"
"t’","t̓"
"p̍","p̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"q́","q̓"
"q̍","q̓"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q’","q̓"
"čʼ","č̓"
"čˈ","č̓"
"č̍","č̓"
"č̒","č̓"
"č̔","č̓"
"č̕","č̓"
"č՚","č̓"
"č’","č̓"
"q́ʷ","q̓ʷ"
"q̍ʷ","q̓ʷ"
"q̒ʷ","q̓ʷ"
"q̔ʷ","q̓ʷ"
"q̕ʷ","q̓ʷ"
"k̍ʷ","k̓ʷ"
"k̒ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"ǝwʼ","əw̓"
"ǝwˈ","əw̓"
"ǝw̒","əw̓"
"ǝw̓","əw̓"
"ǝw̔","əw̓"
"ǝw̕","əw̓"
"ǝw՚","əw̓"
"ǝw’","əw̓"
"əwʼ","əw̓"
"əwˈ","əw̓"
"əw̒","əw̓"
"əw̔","əw̓"
"əw̕","əw̓"
"əw՚","əw̓"
"əw’","əw̓"
"Cʼ","C̓"
"Cˈ","C̓"
"C̒","C̓"
"C̔","C̓"
"C̕","C̓"
"C՚","C̓"
"C’","C̓"
"Tʼ","T̓"
"Tˈ","T̓"
"T̒","T̓"
"T̔","T̓"
"T̕","T̓"
"T՚","T̓"
"T’","T̓"
"Pʼ","P̓"
"Pˈ","P̓"
"P̒","P̓"
"P̔","P̓"
"P̕","P̓"
"P՚","P̓"
"P’","P̓"
"Qʼ","Q̓"
"Qˈ","Q̓"
"Q̒","Q̓"
"Q̔","Q̓"
"Q̕","Q̓"
"Q՚","Q̓"
"Q’","Q̓"
"Čʼ","Č̓"
"Čˈ","Č̓"
"Č̍","Č̓"
"Č̒","Č̓"
"Č̔","Č̓"
"Č̕","Č̓"
"Č՚","Č̓"
"Qʼʷ","Q̓ʷ"
"Qˈʷ","Q̓ʷ"
"Q̒ʷ","Q̓ʷ"
"Q̔ʷ","Q̓ʷ"
"Q̕ʷ","Q̓ʷ"
"Q՚ʷ","Q̓ʷ"
"Q’ʷ","Q̓ʷ"
"Kʼʷ","K̓ʷ"
"Kˈʷ","K̓ʷ"
"K̒ʷ","K̓ʷ"
"K̔ʷ","K̓ʷ"
"K̕ʷ","K̓ʷ"
"K՚ʷ","K̓ʷ"
"K’ʷ","K̓ʷ"
"Ќʷ","K̓ʷ"
"Əwˈ","Əw̓"
"Əw̕","Əw̓"
"Əw̒","Əw̓"
"Əw̔","Əw̓"
"Əwʼ","Əw̓"
"Əw’","Əw̓"
"Əw՚","Əw̓"
"Ɫ","Ɬ"
"ɫ","ɬ"
