Confusable,Canonical Character
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"ḿ","m̓"
"m’","m̓"
"r̕","r̓"
"rʼ","r̓"
"gˈw","g̓w"
"g̕w","g̓w"
"g̒w","g̓w"
"g̔w","g̓w"
"gʼw","g̓w"
"g’w","g̓w"
"g՚w","g̓w"
"k̍w","k̓w"
"k̒w","k̓w"
"k̔w","k̓w"
"k̕w","k̓w"
"k’w","k̓w"
"ḱw","k̓w"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"ý","y̓"
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"t̀","t̓"
"t́","t̓"
"t’","t̓"
"gˈ","g̓"
"g̕","g̓"
"g̒","g̓"
"g̔","g̓"
"gʼ","g̓"
"g’","g̓"
"g՚","g̓"
"ǵ","g̓"
"ľ","l̓"
"ĺ","l̓"
"l̕","l̓"
"l’","l̓"
"z՚","z̓"
"zʼ","z̓"
"z̒","z̓"
"z̔","z̓"
"z̕","z̓"
"zˈ","z̓"
"z’","z̓"
"ź","z̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"tsˈ","ts̓"
"ts̕","ts̓"
"ts̒","ts̓"
"ts̔","ts̓"
"tsʼ","ts̓"
"ts’","ts̓"
"ts՚","ts̓"
"tś","ts̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"ń","n̓"
"n’","n̓"
"q̒w","q̓w"
"q̔w","q̓w"
"q̕w","q̓w"
"q̍w","q̓w"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"q́","q̓"
"q’","q̓"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"ẃ","w̓"
"w’","w̓"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"k’","k̓"
"ḱ","k̓"
"ṯs̠","t̲s̲"
"ṯs̱","t̲s̲"
"t̠s̠","t̲s̲"
"t̠s̱","t̲s̲"
"t̲s̱","t̲s̲"
"ṯs̲","t̲s̲"
"s̠","s̲"
"s̱","s̲"
"ḻ","l̲"
"l̠","l̲"
"v̓","v́"
"v̍","v́"
"M̍","M̓"
"M̒","M̓"
"M̔","M̓"
"M̕","M̓"
"Mˈ","M̓"
"M’","M̓"
"M՚","M̓"
"Mʼ","M̓"
"Rˈ","R̓"
"R̕","R̓"
"R̒","R̓"
"R̔","R̓"
"Rʼ","R̓"
"R’","R̓"
"R՚","R̓"
"Gˈw","G̓w"
"G̕w","G̓w"
"G̒w","G̓w"
"G̔w","G̓w"
"Gʼw","G̓w"
"G’w","G̓w"
"G՚w","G̓w"
"Kˈw","K̓w"
"K̕w","K̓w"
"K̒w","K̓w"
"K̔w","K̓w"
"Kʼw","K̓w"
"Ќw","K̓w"
"K’w","K̓w"
"K՚w","K̓w"
"Y̍","Y̓"
"Y’","Y̓"
"Y՚","Y̓"
"Yʼ","Y̓"
"Y̒","Y̓"
"Y̔","Y̓"
"Y̕","Y̓"
"Yˈ","Y̓"
"T̔","T̓"
"T̕","T̓"
"Tˈ","T̓"
"T’","T̓"
"T՚","T̓"
"Tʼ","T̓"
"T̒","T̓"
"Gˈ","G̓"
"G̕","G̓"
"G̒","G̓"
"G̔","G̓"
"Gʼ","G̓"
"G’","G̓"
"G՚","G̓"
"Ľ","L̓"
"Z՚","Z̓"
"Zʼ","Z̓"
"Z̒","Z̓"
"Z̔","Z̓"
"Z̕","Z̓"
"Zˈ","Z̓"
"Z’","Z̓"
"P̒","P̓"
"P̔","P̓"
"P̕","P̓"
"Pˈ","P̓"
"P’","P̓"
"P՚","P̓"
"Pʼ","P̓"
"Tsˈ","Ts̓"
"Ts̕","Ts̓"
"Ts̒","Ts̓"
"Ts̔","Ts̓"
"Tsʼ","Ts̓"
"Ts’","Ts̓"
"Ts՚","Ts̓"
"N̍","N̓"
"N̒","N̓"
"N̔","N̓"
"N̕","N̓"
"Nˈ","N̓"
"N’","N̓"
"N՚","N̓"
"Nʼ","N̓"
"Qˈw","Q̓w"
"Q̕w","Q̓w"
"Q̒w","Q̓w"
"Q̔w","Q̓w"
"Qʼw","Q̓w"
"Q’w","Q̓w"
"Q՚w","Q̓w"
"Q̍w","Q̓w"
"Q̒","Q̓"
"Q̔","Q̓"
"Q̕","Q̓"
"Qˈ","Q̓"
"Q’","Q̓"
"Q՚","Q̓"
"Qʼ","Q̓"
"W̍","W̓"
"Wˈ","W̓"
"W’","W̓"
"W՚","W̓"
"Wʼ","W̓"
"W̒","W̓"
"W̔","W̓"
"W̕","W̓"
"Kʼ","K̓"
"K̒","K̓"
"K̔","K̓"
"K̕","K̓"
"Ќ","K̓"
"Kˈ","K̓"
"K’","K̓"
"K՚","K̓"
"Ṯs̠","T̲s̲"
"Ṯs̱","T̲s̲"
"T̠s̱","T̲s̲"
"T̲s̱","T̲s̲"
"Ṯs̲","T̲s̲"
"S̠","S̲"
"S̱","S̲"
"Ḻ","L̲"
"L̠","L̲"
"V̓","V́"
"V̍","V́"
