Sort Order,Character,Approximate Latin Form(s)
"1","a","a"
"2","b","b"
"3","c","s"
"4","c̓","ts"
"5","d","d"
"6","dᶻ","dz"
"7","ē","ai"
"8","e","eh"
"9","ə","ah"
"10","g","g"
"11","gʷ","gw"
"12","ǧ","gu"
"13","ǧʷ","guh"
"14","h","h"
"15","i","i"
"16","k","k"
"17","k̓","k"
"18","kʷ","kw"
"19","k̓ʷ","kw"
"20","l","l"
"21","l̓","l"
"22","ɫ","hl"
"23","λ","glh"
"24","ƛ","glh"
"25","ƛ̓","glh"
"26","m","m"
"27","m̓","m"
"28","n","n"
"29","n̓","n"
"30","o","o"
"31","p","p"
"32","p̓","p"
"33","q","q"
"34","qʷ","qw"
"35","q̓","q"
"36","q̓ʷ","qw"
"37","s","z"
"38","t","t"
"39","t̓","t"
"40","u","u"
"41","w","w"
"42","w̓","w"
"43","x","h"
"44","xʷ","hw"
"45","x̌","hu"
"46","x̌ʷ","hw"
"47","y","y"
"48","y̓","y"
