Confusable,Canonical Character
"k̒ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"l̍","l̓"
"l̒","l̓"
"l̔","l̓"
"l̕","l̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"ǝ","ə"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"λ̸","ƛ"
"λ̷","ƛ"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"ƛ̍","ƛ̓"
"λ̸̕","ƛ̓"
"λ̷̔","ƛ̓"
"ƛ̒","ƛ̓"
"λ̷̕","ƛ̓"
"λ̷̒","ƛ̓"
"ƛ̔","ƛ̓"
"λ̸̔","ƛ̓"
"λ̷̓","ƛ̓"
"ƛ̕","ƛ̓"
"λ̸̒","ƛ̓"
"λ̸̍","ƛ̓"
"λ̷̍","ƛ̓"
"ğ","ǧ"
"ğʷ","ǧʷ"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"q̕ʷ","q̓ʷ"
"q̒ʷ","q̓ʷ"
"q̔ʷ","q̓ʷ"
"q̍ʷ","q̓ʷ"
"e̅","ē"
"e︤","ē"
"e︥","ē"
"e¯","ē"
"e‾","ē"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"c̔","c̓"
"c̕","c̓"
"cˈ","c̓"
"c’","c̓"
"c՚","c̓"
"cʼ","c̓"
"c̒","c̓"
