Sort Order,Character,Approximate Latin Form(s)
"1","ᐊ",""
"2","ᐁ",""
"3","ᐃ",""
"4","ᐅ",""
"5","ᐧ",""
"6","ᐤ",""
"7","ᐸ",""
"8","ᐯ",""
"9","ᐱ",""
"10","ᐳ",""
"11","ᑊ",""
"12","ᐦ",""
"13","ᑕ",""
"14","ᑌ",""
"15","ᑎ",""
"16","ᑐ",""
"17","ᐟ",""
"18","ᑲ",""
"19","ᑫ",""
"20","ᑭ",""
"21","ᑯ",""
"22","ᐠ",""
"23","ᒐ",""
"24","ᒉ",""
"25","ᒋ",""
"26","ᒍ",""
"27","ᐨ",""
"28","ᒪ",""
"29","ᒣ",""
"30","ᒥ",""
"31","ᒧ",""
"32","ᒼ",""
"33","ᓇ",""
"34","ᓀ",""
"35","ᓂ",""
"36","ᓄ",""
"37","ᐣ",""
"38","ᓴ",""
"39","ᓭ",""
"40","ᓯ",""
"41","ᓱ",""
"42","ᐢ",""
"43","ᔭ",""
"44","ᔦ",""
"45","ᔨ",""
"46","ᔪ",""
"47","ᐩ",""
