Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","'a",""
"3","b",""
"4","ch",""
"5","ch'",""
"6","d",""
"7","dl",""
"8","dz",""
"9","d̲z̲",""
"10","e",""
"11","'e",""
"12","g",""
"13","gh",""
"14","gw",""
"15","h",""
"16","i",""
"17","'i",""
"18","j",""
"19","k",""
"20","k'",""
"21","kh",""
"22","kw",""
"23","kw'",""
"24","l",""
"25","lh",""
"26","m",""
"27","n",""
"28","ng",""
"29","o",""
"30","'o",""
"31","oo",""
"32","s",""
"33","s̲",""
"34","sh",""
"35","t",""
"36","t'",""
"37","tl",""
"38","tl'",""
"39","ts",""
"40","ts'",""
"41","t̲s̲",""
"42","t̲s̲'",""
"43","u",""
"44","'u",""
"45","w",""
"46","wh",""
"47","y",""
"48","z",""
"49","ẕ",""
"50","'",""
