Confusable,Canonical Character
"ch＇","ch'"
"ch̕","ch'"
"chˈ","ch'"
"ch’","ch'"
"ch՚","ch'"
"chʼ","ch'"
"ch̒","ch'"
"ch̔","ch'"
"ch̓","ch'"
"＇a","'a"
"’a","'a"
"ʼa","'a"
"ˈa","'a"
"՚a","'a"
"ḏẕ","d̲z̲"
"d̠ẕ","d̲z̲"
"d̲z_","d̲z̲"
"d̠z̠","d̲z̲"
"d_ẕ","d̲z̲"
"d̲ẕ","d̲z̲"
"d̲z̠","d̲z̲"
"d_z_","d̲z̲"
"＇o","'o"
"’o","'o"
"ʼo","'o"
"ˈo","'o"
"՚o","'o"
"＇u","'u"
"’u","'u"
"ʼu","'u"
"ˈu","'u"
"՚u","'u"
"t̲s̲̕","t̲s̲'"
"ṯs̠＇","t̲s̲'"
"t̲s̲՚","t̲s̲'"
"ṯs̠'","t̲s̲'"
"ṯs̠ˈ","t̲s̲'"
"t̲s̲ʼ","t̲s̲'"
"ṯs̠՚","t̲s̲'"
"ṯs̠ʼ","t̲s̲'"
"t̲s̲̒","t̲s̲'"
"t̲s̲̓","t̲s̲'"
"t̲s̲̔","t̲s̲'"
"ṯs̠̒","t̲s̲'"
"ṯs̠̓","t̲s̲'"
"t̲s̲’","t̲s̲'"
"ṯs̠̔","t̲s̲'"
"t̲s̲ˈ","t̲s̲'"
"t̲s̲＇","t̲s̲'"
"ṯs̠̕","t̲s̲'"
"ṯs̠’","t̲s̲'"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"ts’","ts'"
"ts՚","ts'"
"ts＇","ts'"
"tsʼ","ts'"
"s̠","s̲"
"s̱","s̲"
"＇e","'e"
"’e","'e"
"ʼe","'e"
"ˈe","'e"
"՚e","'e"
"t̔","t'"
"t̕","t'"
"t＇","t'"
"t’","t'"
"tˈ","t'"
"t՚","t'"
"tʼ","t'"
"t̒","t'"
"t̓","t'"
"tlˈ","tl'"
"tl՚","tl'"
"tlʼ","tl'"
"tl̓","tl'"
"tl̒","tl'"
"tl̕","tl'"
"tl＇","tl'"
"tl̔","tl'"
"tl’","tl'"
"＇i","'i"
"’i","'i"
"ʼi","'i"
"ˈi","'i"
"՚i","'i"
"kwʼ","kw'"
"kw̓","kw'"
"kw̒","kw'"
"kw̕","kw'"
"kw＇","kw'"
"kw̔","kw'"
"kw’","kw'"
"kwˈ","kw'"
"kw՚","kw'"
"kʼ","k'"
"k̓","k'"
"k̕","k'"
"k’","k'"
"k＇","k'"
"kˈ","k'"
"k՚","k'"
"z̲","ẕ"
"z̠","ẕ"
"z_","ẕ"
"t̠s̠","t̲s̲"
"ṯs̠","t̲s̲"
"t̠s̱","t̲s̲"
"ṯs̱","t̲s̲"
"̒","'"
"̓ ̕","'"
"̔","'"
"’","'"
"＇","'"
"ˈ","'"
"՚","'"
"ʼ","'"
"d̲z̲","d̲z̲"
"ẕ","ẕ"
