Sort Order,Character,Approximate Latin Form(s)
"1","a","a"
"2","a̱","a,e,u,o"
"3","b","b"
"4","d","d"
"5","dł","dl,dt,d,g,gl"
"6","dz","dz"
"7","e","e,a,i,ay"
"8","g","g"
"9","gw","gw"
"10","g̱","g,gy,k"
"11","g̱w","gw,kw"
"12","h","h"
"13","i","i,e,ee"
"14","k","k,ky,"
"15","kw","kw"
"16","k̓","ky"
"17","k̕w","kw"
"18","ḵ","k"
"19","ḵw","kw"
"20","ḵ̓","k,g"
"21","ḵ̕w","kw,gw"
"22","l","l"
"23","ł","lh,tl,lt"
"24","m","m"
"25","n","n"
"26","o","o,u"
"27","p","p"
"28","p̓","p"
"29","s","s"
"30","t","t"
"31","t̓","t"
"32","ts","ts"
"33","t̕s","ts"
"34","tł","tł,tl,lh"
"35","t̕ł","tł,tl,lh"
"36","u","u,o"
"37","w","w,o,u"
"38","x","x,sh,h,hy"
"39","xw","xw,hw"
"40","x̱","x,k,kh"
"41","x̱w","xw,kw,khw,hw"
"42","y","y"
"43","'","t,k"
