Confusable,Canonical Character
"'","'"
"ʼ","'"
"ˈ","'"
"՚","'"
"’","'"
"A","A"
"A_","A̱"
"A̠","A̱"
"A̱","A̱"
"A̲","A̱"
"B","B"
"D","D"
"Dz","Dz"
"Dl̷","Dł"
"Dl̸","Dł"
"Dł","Dł"
"E","E"
"G","G"
"Gw","Gw"
"G_","G̱"
"G̠","G̱"
"G̱","G̱"
"G̲","G̱"
"G̱w","G̱w"
"Ǥ","G̱"
"H","H"
"I","I"
"K","K"
"Kw","Kw"
"Kʼ","K̓"
"Kˈ","K̓"
"K̒","K̓"
"K̓","K̓"
"K̔","K̓"
"K̕","K̓"
"K՚","K̓"
"K’","K̓"
"Ќ","K̓"
"Kʼw","K̕w"
"Kˈw","K̕w"
"K̒w","K̕w"
"K̓w","K̕w"
"K̔w","K̕w"
"K̕w","K̕w"
"K՚w","K̕w"
"K’w","K̕w"
"Ќw","K̕w"
"L","L"
"M","M"
"N","N"
"O","O"
"P","P"
"Pʼ","P̓"
"Pˈ","P̓"
"P̒","P̓"
"P̓","P̓"
"P̔","P̓"
"P̕","P̓"
"P՚","P̓"
"P’","P̓"
"S","S"
"T","T"
"Ts","Ts"
"Tl̷","Tł"
"Tl̸","Tł"
"Tł","Tł"
"Tʼ","T̓"
"Tˈ","T̓"
"T̒","T̓"
"T̓","T̓"
"T̔","T̓"
"T̕","T̓"
"T՚","T̓"
"T’","T̓"
"Tʼs","T̕s"
"Tˈs","T̕s"
"T̒s","T̕s"
"T̓s","T̕s"
"T̔s","T̕s"
"T̕s","T̕s"
"T՚s","T̕s"
"T’s","T̕s"
"Tʼl̷","T̕ł"
"Tʼl̸","T̕ł"
"Tʼł","T̕ł"
"Tˈl̷","T̕ł"
"Tˈl̸","T̕ł"
"Tˈł","T̕ł"
"T̒l̷","T̕ł"
"T̒l̸","T̕ł"
"T̒ł","T̕ł"
"T̓l̷","T̕ł"
"T̓l̸","T̕ł"
"T̓ł","T̕ł"
"T̔l̷","T̕ł"
"T̔l̸","T̕ł"
"T̔ł","T̕ł"
"T̕l̷","T̕ł"
"T̕l̸","T̕ł"
"T̕ł","T̕ł"
"T՚l̷","T̕ł"
"T՚l̸","T̕ł"
"T՚ł","T̕ł"
"T’l̷","T̕ł"
"T’l̸","T̕ł"
"T’ł","T̕ł"
"U","U"
"W","W"
"X","X"
"Xw","Xw"
"X_","X̱"
"X̠","X̱"
"X̱","X̱"
"X̲","X̱"
"X̱w","X̱w"
"Y","Y"
"a","a"
"a_","a̱"
"a̠","a̱"
"a̱","a̱"
"a̲","a̱"
"b","b"
"d","d"
"dz","dz"
"ʣ","dz"
"dl̷","dł"
"dl̸","dł"
"dł","dł"
"e","e"
"g","g"
"gw","gw"
"g_","g̱"
"g̠","g̱"
"g̱","g̱"
"g̲","g̱"
"g_w","g̱w"
"g̠w","g̱w"
"g̱w","g̱w"
"g̲w","g̱w"
"ǥw","g̱w"
"ǥ","g̱"
"h","h"
"i","i"
"k","k"
"kw","kw"
"k̍","k̓"
"k̒","k̓"
"k̓","k̓"
"k̔","k̓"
"k̕","k̓"
"k’","k̓"
"ḱ","k̓"
"kʼw","k̕w"
"k̍w","k̕w"
"k̒w","k̕w"
"k̓w","k̕w"
"k̔w","k̕w"
"k̕w","k̕w"
"k՚w","k̕w"
"k’w","k̕w"
"l","l"
"m","m"
"n","n"
"o","o"
"p","p"
"p̍","p̓"
"p̒","p̓"
"p̓","p̓"
"p̔","p̓"
"p̕","p̓"
"s","s"
"ts","ts"
"ʦ","ts"
"t","t"
"tl̷","tł"
"tl̸","tł"
"tł","tł"
"t́","t̓"
"t̍","t̓"
"t̒","t̓"
"t̓","t̓"
"t̔","t̓"
"t̕","t̓"
"t’","t̓"
"tʼs","t̕s"
"t̔s","t̕s"
"t̕s","t̕s"
"t՚s","t̕s"
"t’s","t̕s"
"tʼl̷","t̕ł"
"tʼl̸","t̕ł"
"tʼł","t̕ł"
"t̔l̷","t̕ł"
"t̔l̸","t̕ł"
"t̔ł","t̕ł"
"t̕l̷","t̕ł"
"t̕l̸","t̕ł"
"t̕ł","t̕ł"
"t՚l̷","t̕ł"
"t՚l̸","t̕ł"
"t՚ł","t̕ł"
"t’l̷","t̕ł"
"t’l̸","t̕ł"
"t’ł","t̕ł"
"u","u"
"w","w"
"xw","xw"
"x","x"
"x_w","x̱w"
"x̠w","x̱w"
"x̱w","x̱w"
"x̲w","x̱w"
"x_","x̱"
"x̠","x̱"
"x̱","x̱"
"x̲","x̱"
"y","y"
"L̷","Ł"
"L̸","Ł"
"Ł","Ł"
"l̷","ł"
"l̸","ł"
"ł","ł"
"K_","Ḵ"
"K̠","Ḵ"
"K̲","Ḵ"
"K_w","Ḵw"
"K̠w","Ḵw"
"K̲w","Ḵw"
"Ḵw","Ḵw"
"K_̓","Ḵ̓"
"K̲̓","Ḵ̓"
"Ḵ̓","Ḵ̓"
"K_ʼw","Ḵ̕w"
"K_ˈw","Ḵ̕w"
"K_̒w","Ḵ̕w"
"K_̔w","Ḵ̕w"
"K_̕w","Ḵ̕w"
"K_՚w","Ḵ̕w"
"K_’w","Ḵ̕w"
"K̠ʼw","Ḵ̕w"
"K̠ˈw","Ḵ̕w"
"K̠̒w","Ḵ̕w"
"K̠̔w","Ḵ̕w"
"K̠̕w","Ḵ̕w"
"K̠՚w","Ḵ̕w"
"K̠’w","Ḵ̕w"
"K̲ʼw","Ḵ̕w"
"K̲ˈw","Ḵ̕w"
"K̲̒w","Ḵ̕w"
"K̲̔w","Ḵ̕w"
"K̲̕w","Ḵ̕w"
"K̲՚w","Ḵ̕w"
"K̲’w","Ḵ̕w"
"Ḵʼw","Ḵ̕w"
"Ḵˈw","Ḵ̕w"
"Ḵ̒w","Ḵ̕w"
"Ḵ̓w","Ḵ̕w"
"Ḵ̔w","Ḵ̕w"
"Ḵ̕w","Ḵ̕w"
"Ḵ՚w","Ḵ̕w"
"Ḵ’w","Ḵ̕w"
"Ḵ","Ḵ"
"k_","ḵ"
"k̠","ḵ"
"k̲","ḵ"
"k_w","ḵw"
"k̠w","ḵw"
"k̲w","ḵw"
"ḵw","ḵw"
"k_̓","ḵ̓"
"k̠ʼ","ḵ̓"
"k̠̓","ḵ̓"
"k̠՚","ḵ̓"
"k̠’","ḵ̓"
"k̲ʼ","ḵ̓"
"k̲̓","ḵ̓"
"k̲՚","ḵ̓"
"k̲’","ḵ̓"
"ḵʼ","ḵ̓"
"ḵˈ","ḵ̓"
"ḵ̒","ḵ̓"
"ḵ̓","ḵ̓"
"ḵ̔","ḵ̓"
"ḵ̕","ḵ̓"
"ḵ՚","ḵ̓"
"ḵ’","ḵ̓"
"ḵ＇","ḵ̓"
"k_̓w","ḵ̕w"
"k_̕w","ḵ̕w"
"k̓_w","ḵ̕w"
"k̕_w","ḵ̕w"
"k̠ʼw","ḵ̕w"
"k̠ˈw","ḵ̕w"
"k̠̒w","ḵ̕w"
"k̠̓w","ḵ̕w"
"k̠̔w","ḵ̕w"
"k̠̕w","ḵ̕w"
"k̠՚w","ḵ̕w"
"k̠’w","ḵ̕w"
"k̲ʼw","ḵ̕w"
"k̲ˈw","ḵ̕w"
"k̲̒w","ḵ̕w"
"k̲̓w","ḵ̕w"
"k̲̔w","ḵ̕w"
"k̲̕w","ḵ̕w"
"k̲՚w","ḵ̕w"
"k̲’w","ḵ̕w"
"ḵʼw","ḵ̕w"
"ḵˈw","ḵ̕w"
"ḵ̒w","ḵ̕w"
"ḵ̓w","ḵ̕w"
"ḵ̔w","ḵ̕w"
"ḵ̕w","ḵ̕w"
"ḵ՚w","ḵ̕w"
"ḵ’w","ḵ̕w"
"ḵ","ḵ"
