Sort Order,Character,Approximate Latin Form(s)
"1","'",""
"2","a",""
"3","b",""
"4","c",""
"5","c'",""
"6","d",""
"7","dl",""
"8","dz",""
"9","e",""
"10","ee",""
"11","g",""
"12","gh",""
"13","gw",""
"14","h",""
"15","i",""
"16","j",""
"17","k",""
"18","k'",""
"19","kh",""
"20","kw",""
"21","kw'",""
"22","l",""
"23","lh",""
"24","m",""
"25","'m",""
"26","n",""
"27","'n",""
"28","o",""
"29","s",""
"30","t",""
"31","t'",""
"32","tl",""
"33","tl'",""
"34","ts",""
"35","ts'",""
"36","u",""
"37","w",""
"38","wh",""
"39","y",""
"40","yh",""
"41","z",""
