Confusable,Canonical Character
"ʼn","'n"
"ʦ","ts"
"tsʼ","ts'"
"tsˈ","ts'"
"ts̒","ts'"
"ts̓","ts'"
"ts̔","ts'"
"ts̕","ts'"
"ts՚","ts'"
"ts’","ts'"
"ts＇","ts'"
"tlʼ","tl'"
"tlˈ","tl'"
"tl̒","tl'"
"tl̓","tl'"
"tl̔","tl'"
"tl̕","tl'"
"tl՚","tl'"
"tl’","tl'"
"tl＇","tl'"
"tʼ","t'"
"tˈ","t'"
"t̒","t'"
"t̓","t'"
"t̔","t'"
"t̕","t'"
"t՚","t'"
"t’","t'"
"t＇","t'"
"ʼm","'m"
"cʼ","c'"
"ʼ","'"
"kwʼ","kw'"
"kwˈ","kw'"
"kw̒","kw'"
"kw̓","kw'"
"kw̔","kw'"
"kw̕","kw'"
"kw՚","kw'"
"kw’","kw'"
"kw＇","kw'"
"kʼ","k'"
"kˈ","k'"
"k̒","k'"
"k̓","k'"
"k̔","k'"
"k̕","k'"
"k՚","k'"
"k’","k'"
"k＇","k'"
"ʣ","dz"
"ʼN","'N"
"Tsʼ","Ts'"
"Tsˈ","Ts'"
"Ts̒","Ts'"
"Ts̓","Ts'"
"Ts̔","Ts'"
"Ts̕","Ts'"
"Ts՚","Ts'"
"Ts’","Ts'"
"Ts＇","Ts'"
"Tlʼ","Tl'"
"Tʼ","T'"
"Tˈ","T'"
"T̒","T'"
"T̓","T'"
"T̔","T'"
"T̕","T'"
"T՚","T'"
"T’","T'"
"T＇","T'"
"ʼM","'M"
"Cʼ","C'"
"Kwʼ","Kw'"
"Kʼ","K'"
"Kˈ","K'"
"K̒","K'"
"K̓","K'"
"K̔","K'"
"K̕","K'"
"K՚","K'"
"K’","K'"
"K＇","K'"
"Ќ","K'"
