Confusable,Canonical Character
"t’","t'"
"tʼ","t'"
"t՚","t'"
"t̔","t'"
"t̕","t'"
"t＇","t'"
"tˈ","t'"
"t̒","t'"
"t̓","t'"
"g̲","g̱"
"g̠","g̱"
"g_","g̱"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"’","'"
"ʼ","'"
"՚","'"
"＇","'"
"n̍","n̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"kw’","kw'"
"kwʼ","kw'"
"kw՚","kw'"
"kw＇","kw'"
"kwˈ","kw'"
"x̲","x̱"
"x̠","x̱"
"x_","x̱"
"k̲’","ḵ'"
"k̲ʼ","ḵ'"
"k̲՚","ḵ'"
"k̠’","ḵ'"
"k̠ʼ","ḵ'"
"k̠՚","ḵ'"
"ḵ’","ḵ'"
"ḵʼ","ḵ'"
"ḵ՚","ḵ'"
"k_’","ḵ'"
"k_ʼ","ḵ'"
"k_՚","ḵ'"
"ḵ̕","ḵ'"
"ḵ＇","ḵ'"
"ḵˈ","ḵ'"
"ḵ̓","ḵ'"
"ḵ̒","ḵ'"
"ḵ̔","ḵ'"
"p’","p'"
"pʼ","p'"
"p՚","p'"
"p̒","p'"
"p̓","p'"
"p̔","p'"
"p̕","p'"
"p＇","p'"
"p̍","p'"
"tl’","tl'"
"tlʼ","tl'"
"tl՚","tl'"
"tlˈ","tl'"
"tl＇","tl'"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"ts’","ts'"
"tsʼ","ts'"
"ts՚","ts'"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"ts＇","ts'"
"Ì","l̓"
"l̀","l̓"
"lʼ","l̓"
"l̍","l̓"
"l̒","l̓"
"l̔","l̓"
"l̕","l̓"
"k’","k'"
"kʼ","k'"
"k՚","k'"
"k̒","k'"
"k̓","k'"
"k̔","k'"
"k̕","k'"
"k＇","k'"
"kˈ","k'"
"k_","ḵ"
"k̠","ḵ"
"k̲","ḵ"
"T＇","T'"
"T’","T'"
"T̓","T'"
"T̕","T'"
"T̒","T'"
"T̔","T'"
"Tʼ","T'"
"Tˈ","T'"
"T՚","T'"
"G̠","G̱"
"G̲","G̱"
"G_","G̱"
"W̍","W̓"
"Wˈ","W̓"
"W’","W̓"
"W՚","W̓"
"Wʼ","W̓"
"W̒","W̓"
"W̔","W̓"
"W̕","W̓"
"M̍","M̓"
"M̒","M̓"
"M̔","M̓"
"M̕","M̓"
"Mˈ","M̓"
"M’","M̓"
"M՚","M̓"
"Mʼ","M̓"
"N̍","N̓"
"N̒","N̓"
"N̔","N̓"
"N̕","N̓"
"Nˈ","N̓"
"N’","N̓"
"N՚","N̓"
"Nʼ","N̓"
"Kw＇","Kw'"
"Kw’","Kw'"
"Kw̓","Kw'"
"Kw̕","Kw'"
"Kw̒","Kw'"
"Kw̔","Kw'"
"Kwʼ","Kw'"
"Kwˈ","Kw'"
"Kw՚","Kw'"
"X̲","X̱"
"X̠","X̱"
"X_","X̱"
"K̲’","Ḵ'"
"K̲ʼ","Ḵ'"
"K̲՚","Ḵ'"
"K̠’","Ḵ'"
"K̠ʼ","Ḵ'"
"K̠՚","Ḵ'"
"Ḵ’","Ḵ'"
"Ḵʼ","Ḵ'"
"Ḵ՚","Ḵ'"
"K_’","Ḵ'"
"K_ʼ","Ḵ'"
"P＇","P'"
"P’","P'"
"P̓","P'"
"P̕","P'"
"P̒","P'"
"P̔","P'"
"Pʼ","P'"
"Pˈ","P'"
"P՚","P'"
"Tl＇","Tl'"
"Tl’","Tl'"
"Tl̕","Tl'"
"Tl̒","Tl'"
"Tl̔","Tl'"
"Tlʼ","Tl'"
"Tlˈ","Tl'"
"Tl՚","Tl'"
"Y̍","Y̓"
"Y’","Y̓"
"Y՚","Y̓"
"Yʼ","Y̓"
"Y̒","Y̓"
"Y̔","Y̓"
"Y̕","Y̓"
"Yˈ","Y̓"
"Ts＇","Ts'"
"Ts’","Ts'"
"Ts̓","Ts'"
"Ts̕","Ts'"
"Ts̒","Ts'"
"Ts̔","Ts'"
"Tsʼ","Ts'"
"Tsˈ","Ts'"
"Ts՚","Ts'"
"L̀","L̓"
"L̍","L̓"
"L̒","L̓"
"L̔","L̓"
"L̕","L̓"
"L’","L̓"
"K’","K'"
"Kʼ","K'"
"K՚","K'"
"K_","Ḵ"
"K̠","Ḵ"
"K̲","Ḵ"
