Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","á",""
"3","e",""
"4","é",""
"5","i",""
"6","í",""
"7","o",""
"8","ó",""
"9","ii",""
"10","u",""
"11","ú",""
"12","ao",""
"13","aó",""
"14","v",""
"15","v́",""
"16","p",""
"17","t",""
"18","ts",""
"19","k",""
"20","kw",""
"21","s",""
"22","z",""
"23","l",""
"24","m",""
"25","n",""
"26","w",""
"27","y",""
"28","h",""
"29","c",""
"30","cw",""
"31","lh",""
"32","q",""
"33","qw",""
"34","x",""
"35","xw",""
"36","g",""
"37","gw",""
"38","r",""
"39","7",""
"40","p̓",""
"41","t̓",""
"42","ts̓",""
"43","k̓",""
"44","k̓w",""
"45","q̓",""
"46","q̓w",""
"47","z̓",""
"48","l̓",""
"49","m̓",""
"50","n̓",""
"51","w̓",""
"52","y̓",""
"53","r̓",""
"54","g̓",""
"55","g̓w",""
"56","l̲",""
"57","s̲",""
"58","t̲s̲",""
