Confusable,Canonical Character
"r̕","r̓"
"rʼ","r̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"t̠s̠","t̲s̲"
"ṯs̠","t̲s̲"
"t̠s̱","t̲s̲"
"ṯs̱","t̲s̲"
"k̒w","k̓w"
"kʼw","k̓w"
"k՚w","k̓w"
"kˈw","k̓w"
"k̕w","k̓w"
"k’w","k̓w"
"k̔w","k̓w"
"z՚","z̓"
"zʼ","z̓"
"z̒","z̓"
"z̔","z̓"
"z̕","z̓"
"zˈ","z̓"
"z’","z̓"
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"q̕w","q̓w"
"q̒w","q̓w"
"q̔w","q̓w"
"q̍w","q̓w"
"s̠","s̲"
"s̱","s̲"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"ts̒","ts̓"
"ts̔","ts̓"
"ts̕","ts̓"
"tsˈ","ts̓"
"ts՚","ts̓"
"ts’","ts̓"
"tsʼ","ts̓"
"v̍","v́"
"v̓","v́"
"ľ","l̓"
"l̒","l̓"
"l̔","l̓"
"l̕","l̓"
"l̍","l̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"g’w","g̓w"
"gʼw","g̓w"
"g՚w","g̓w"
"gˈw","g̓w"
"g̕w","g̓w"
"g̔w","g̓w"
"g̒w","g̓w"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"gˈ","g̓"
"g’","g̓"
"g՚","g̓"
"gʼ","g̓"
"g̒","g̓"
"g̔","g̓"
"g̕","g̓"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"l̠","l̲"
"ḻ","l̲"
"R̕","R̓"
"Rʼ","R̓"
"R̒","R̓"
"R̔","R̓"
"Rˈ","R̓"
"R’","R̓"
"R՚","R̓"
"Y̍","Y̓"
"Y’","Y̓"
"Y՚","Y̓"
"Yʼ","Y̓"
"Y̒","Y̓"
"Y̔","Y̓"
"Y̕","Y̓"
"Yˈ","Y̓"
"K̒w","K̓w"
"Kʼw","K̓w"
"K՚w","K̓w"
"Kˈw","K̓w"
"Ќw","K̓w"
"K̕w","K̓w"
"K’w","K̓w"
"K̔w","K̓w"
"Z՚","Z̓"
"Zʼ","Z̓"
"Z̒","Z̓"
"Z̔","Z̓"
"Z̕","Z̓"
"Zˈ","Z̓"
"Z’","Z̓"
"T̔","T̓"
"T̕","T̓"
"Tˈ","T̓"
"T’","T̓"
"T՚","T̓"
"Tʼ","T̓"
"T̒","T̓"
"Q̕w","Q̓w"
"Q̔w","Q̓w"
"Q̒w","Q̓w"
"Q̍w","Q̓w"
"Qˈw","Q̓w"
"Q’w","Q̓w"
"Qʼw","Q̓w"
"Q՚w","Q̓w"
"S̠","S̲"
"S̱","S̲"
"W̍","W̓"
"Wˈ","W̓"
"W’","W̓"
"W՚","W̓"
"Wʼ","W̓"
"W̒","W̓"
"W̔","W̓"
"W̕","W̓"
"N̍","N̓"
"N̒","N̓"
"N̔","N̓"
"N̕","N̓"
"Nˈ","N̓"
"N’","N̓"
"N՚","N̓"
"Nʼ","N̓"
"Kʼ","K̓"
"K̒","K̓"
"K̔","K̓"
"K̕","K̓"
"Ќ","K̓"
"Kˈ","K̓"
"K’","K̓"
"K՚","K̓"
"Ts̒","Ts̓"
"Ts̔","Ts̓"
"Ts̕","Ts̓"
"Tsˈ","Ts̓"
"Ts՚","Ts̓"
"Ts’","Ts̓"
"Tsʼ","Ts̓"
"V̍","V́"
"V̓","V́"
"Ľ","L̓"
"L̒","L̓"
"L̔","L̓"
"L̕","L̓"
"L̍","L̓"
"M̍","M̓"
"M̒","M̓"
"M̔","M̓"
"M̕","M̓"
"Mˈ","M̓"
"M’","M̓"
"M՚","M̓"
"Mʼ","M̓"
"G’w","G̓w"
"Gʼw","G̓w"
"G՚w","G̓w"
"Gˈw","G̓w"
"G̕w","G̓w"
"G̔w","G̓w"
"G̒w","G̓w"
"Q̒","Q̓"
"Q̔","Q̓"
"Q̕","Q̓"
"Qˈ","Q̓"
"Q’","Q̓"
"Q՚","Q̓"
"Qʼ","Q̓"
"Gˈ","G̓"
"G’","G̓"
"G՚","G̓"
"Gʼ","G̓"
"G̒","G̓"
"G̔","G̓"
"G̕","G̓"
"P̒","P̓"
"P̔","P̓"
"P̕","P̓"
"Pˈ","P̓"
"P’","P̓"
"P՚","P̓"
"Pʼ","P̓"
"L̠","L̲"
"Ḻ","L̲"
