Sort Order,Character,Approximate Latin Form(s)
"1",".","'"
"2","a","a"
"3","A","a"
"4","ch","ch"
"5","TS","ts"
"6","e","e"
"7","E","e"
"8","g̲","g"
"9","h","h"
"10","ee","ee"
"11","EE","ee"
"12","i","i"
"13","I","i"
"14","k","k"
"15","K","k"
"16","kw","kw"
"17","Kw","kw"
"18","l","l"
"19","lh","hl"
"20","TL","tl"
"21","m","m"
"22","n","n"
"23","p","p"
"24","k̲","k"
"25","K̲","k"
"26","K̲w","kw"
"27","sh","sh"
"28","s","s"
"29","t","t"
"30","oo","oo"
"31","OO","oo"
"32","w","w"
"33","hh","x"
"34","wuh","xwoo"
"35","h̲h̲","x"
"36","w̲u̲h̲","xwoo"
"37","y","y"
"38","z","z"
"39","-","i"
