Sort Order,Character,Approximate Latin Form(s)
"1","ʔ",""
"2","a",""
"3","á",""
"4","c",""
"5","c̓",""
"6","c̣",""
"7","e",""
"8","é",""
"9","ə",""
"10","ə́",""
"11","ə̣",""
"12","ɣ",""
"13","ɣ̓",""
"14","h",""
"15","i",""
"16","í",""
"17","ị",""
"18","k",""
"19","k̓",""
"20","kʷ",""
"21","k̓ʷ",""
"22","l",""
"23","ḷ",""
"24","l̓",""
"25","ɬ",""
"26","ƛ̓",""
"27","m",""
"28","m̓",""
"29","n",""
"30","n̓",""
"31","ó",""
"32","p",""
"33","p̓",""
"34","q",""
"35","q̓",""
"36","qʷ",""
"37","q̓ʷ",""
"38","s",""
"39","ṣ",""
"40","t",""
"41","t̓",""
"42","Ɵ",""
"43","u",""
"44","ú",""
"45","w",""
"46","w̓",""
"47","x",""
"48","xʷ",""
"49","x̣",""
"50","x̣ʷ",""
"51","y",""
"52","y̓",""
"53","z",""
"54","z̓",""
"55","ʕ",""
"56","ʕ̓",""
"57","ʕʷ",""
"58","ʕ̓ʷ",""
