Confusable,Canonical Character
"t̔","t̓"
"t̕","t̓"
"t̍","t̓"
"t̒","t̓"
"Ɂ","ʔ"
"ɂ","ʔ"
"ॽ","ʔ"
"ǝ̣","ə̣"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"ɤ","ɣ"
"l̷","ɬ"
"l̸","ɬ"
"O̵","Ɵ"
"O̶","Ɵ"
"ʕˈʷ","ʕ̓ʷ"
"ʕ̕ʷ","ʕ̓ʷ"
"ʕ̒ʷ","ʕ̓ʷ"
"ʕ̔ʷ","ʕ̓ʷ"
"ʕʼʷ","ʕ̓ʷ"
"ʕ’ʷ","ʕ̓ʷ"
"ʕ՚ʷ","ʕ̓ʷ"
"k̍","k̓"
"k̒","k̓"
"k̔","k̓"
"k̕","k̓"
"ǝ́","ə́"
"cˈ","c̓"
"c̕","c̓"
"c̒","c̓"
"c̔","c̓"
"cʼ","c̓"
"c’","c̓"
"c՚","c̓"
"ǝ","ə"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"ɤˈ","ɣ̓"
"ɤ̕","ɣ̓"
"ɤ̒","ɣ̓"
"ɤ̔","ɣ̓"
"ɤʼ","ɣ̓"
"ɤ’","ɣ̓"
"ɤ՚","ɣ̓"
"ɣˈ","ɣ̓"
"ɣ̕","ɣ̓"
"ɣ̒","ɣ̓"
"ɣ̔","ɣ̓"
"ɣʼ","ɣ̓"
"ɣ’","ɣ̓"
"ɣ՚","ɣ̓"
"ɤ̓","ɣ̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"zˈ","z̓"
"z̕","z̓"
"z̒","z̓"
"z̔","z̓"
"zʼ","z̓"
"z’","z̓"
"z՚","z̓"
"k̒ʷ","k̓ʷ"
"k̍ʷ","k̓ʷ"
"k̕ʷ","k̓ʷ"
"k̔ʷ","k̓ʷ"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"ʕˈ","ʕ̓"
"ʕ̕","ʕ̓"
"ʕ̒","ʕ̓"
"ʕ̔","ʕ̓"
"ʕʼ","ʕ̓"
"ʕ’","ʕ̓"
"ʕ՚","ʕ̓"
"q̕ʷ","q̓ʷ"
"q̒ʷ","q̓ʷ"
"q̔ʷ","q̓ʷ"
"q̍ʷ","q̓ʷ"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"lʼ","l̓"
"ĺ","l̓"
"l’","l̓"
"l̕","l̓"
"l̔","l̓"
"l̒","l̓"
"l̍","l̓"
"lˈ","l̓"
"l՚","l̓"
"Ì","l̓"
"ƛ̍","ƛ̓"
"λ̸̕","ƛ̓"
"λ̷̔","ƛ̓"
"ƛ̒","ƛ̓"
"λ̷̕","ƛ̓"
"λ̷̒","ƛ̓"
"ƛ̔","ƛ̓"
"λ̸̔","ƛ̓"
"λ̷̓","ƛ̓"
"ƛ̕","ƛ̓"
"λ̸̒","ƛ̓"
"λ̸̍","ƛ̓"
"λ̷̍","ƛ̓"
"Tˈ","T̓"
"T̕","T̓"
"T̒","T̓"
"T̔","T̓"
"Tʼ","T̓"
"T’","T̓"
"T՚","T̓"
"Ǝ̣","Ə̣"
"Pˈ","P̓"
"P̕","P̓"
"P̒","P̓"
"P̔","P̓"
"Pʼ","P̓"
"P’","P̓"
"P՚","P̓"
"L̷","Ɬ"
"L̸","Ɬ"
"Kˈ","K̓"
"K̕","K̓"
"K̒","K̓"
"K̔","K̓"
"Kʼ","K̓"
"Ќ","K̓"
"K’","K̓"
"K՚","K̓"
"Ǝ́","Ə́"
"Cˈ","C̓"
"C̕","C̓"
"C̒","C̓"
"C̔","C̓"
"Cʼ","C̓"
"C’","C̓"
"C՚","C̓"
"Qˈ","Q̓"
"Q̕","Q̓"
"Q̒","Q̓"
"Q̔","Q̓"
"Qʼ","Q̓"
"Q’","Q̓"
"Q՚","Q̓"
"Ɣˈ","Ɣ̓"
"Ɣ̕","Ɣ̓"
"Ɣ̒","Ɣ̓"
"Ɣ̔","Ɣ̓"
"Ɣʼ","Ɣ̓"
"Ɣ’","Ɣ̓"
"Ɣ՚","Ɣ̓"
"N̍","N̓"
"N̒","N̓"
"N̔","N̓"
"N̕","N̓"
"Nˈ","N̓"
"N’","N̓"
"N՚","N̓"
"Nʼ","N̓"
"Yˈ","Y̓"
"Y̕","Y̓"
"Y̒","Y̓"
"Y̔","Y̓"
"Yʼ","Y̓"
"Y’","Y̓"
"Y՚","Y̓"
"Y̍","Y̓"
"Zˈ","Z̓"
"Z̕","Z̓"
"Z̒","Z̓"
"Z̔","Z̓"
"Zʼ","Z̓"
"Z’","Z̓"
"Z՚","Z̓"
"Kˈʷ","K̓ʷ"
"K̕ʷ","K̓ʷ"
"K̒ʷ","K̓ʷ"
"K̔ʷ","K̓ʷ"
"Kʼʷ","K̓ʷ"
"Ќʷ","K̓ʷ"
"K’ʷ","K̓ʷ"
"K՚ʷ","K̓ʷ"
"Wˈ","W̓"
"W̕","W̓"
"W̒","W̓"
"W̔","W̓"
"Wʼ","W̓"
"W’","W̓"
"W՚","W̓"
"W̍","W̓"
"Qˈʷ","Q̓ʷ"
"Q̕ʷ","Q̓ʷ"
"Q̒ʷ","Q̓ʷ"
"Q̔ʷ","Q̓ʷ"
"Qʼʷ","Q̓ʷ"
"Q’ʷ","Q̓ʷ"
"Q՚ʷ","Q̓ʷ"
"Mˈ","M̓"
"M̕","M̓"
"M̒","M̓"
"M̔","M̓"
"Mʼ","M̓"
"M’","M̓"
"M՚","M̓"
"M̍","M̓"
"Lʼ","L̓"
"L’","L̓"
"L՚","L̓"
"L̕","L̓"
"L̔","L̓"
"L̒","L̓"
"L̍","L̓"
"Lˈ","L̓"
"ł","ɬ"
"Ł","Ɬ"
