Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","á",""
"3","e",""
"4","é",""
"5","i",""
"6","í",""
"7","o",""
"8","ii",""
"9","íi",""
"10","u",""
"11","ú",""
"12","ao",""
"13","áo",""
"14","v",""
"15","v́",""
"16","p",""
"17","t",""
"18","ts",""
"19","k",""
"20","kw",""
"21","s",""
"22","s̲",""
"23","z",""
"24","l",""
"25","m",""
"26","n",""
"27","w",""
"28","y",""
"29","h",""
"30","c",""
"31","cw",""
"32","lh",""
"33","q",""
"34","qw",""
"35","x",""
"36","xw",""
"37","g",""
"38","gw",""
"39","r",""
"40","7",""
"41","p̓",""
"42","t̓",""
"43","ts̓",""
"44","k̓",""
"45","k̓w",""
"46","q̓",""
"47","q̓w",""
"48","z̓",""
"49","l̓",""
"50","m̓",""
"51","n̓",""
"52","w̓",""
"53","y̓",""
"54","r̓",""
"55","g̓",""
"56","g̓w",""
