Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","á",""
"3","c",""
"4","c̓",""
"5","ə",""
"6","ə́",""
"7","ɣ",""
"8","ɣ̓",""
"9","h",""
"10","ḥ",""
"11","i",""
"12","í",""
"13","k",""
"14","k̓",""
"15","kʷ",""
"16","k̓ʷ",""
"17","l",""
"18","l̓",""
"19","ɬ",""
"20","ƛ̓",""
"21","m",""
"22","m̓",""
"23","n",""
"24","n̓",""
"25","p",""
"26","t",""
"27","q̓ʷ",""
"28","q̓",""
"29","qʷ",""
"30","q",""
"31","r",""
"32","r̓",""
"33","s",""
"34","p̓",""
"35","t̓",""
"36","u",""
"37","ú",""
"38","w",""
"39","w̓",""
"40","x",""
"41","xʷ",""
"42","x̌",""
"43","x̌ʷ",""
"44","y",""
"45","y̓",""
"46","ʔ",""
"47","ʕ",""
"48","ʕ̓",""
"49","ʕʷ",""
"50","ʕ̓ʷ",""
