Confusable,Canonical Character
"qw'","qw’"
"qw＇","qw’"
"qw՚","qw’"
"qwʼ","qw’"
"t̔","t’"
"t̕","t’"
"t＇","t’"
"t'","t’"
"tˈ","t’"
"t՚","t’"
"tʼ","t’"
"t̒","t’"
"t̓","t’"
"k̓","k’"
"k̕","k’"
"kʼ","k’"
"kˈ","k’"
"k՚","k’"
"k＇","k’"
"k'","k’"
"p̒","p’"
"p̓","p’"
"p̔","p’"
"p̕","p’"
"p'","p’"
"p̍","p’"
"kwʼ","kw’"
"kw̓","kw’"
"kw̒","kw’"
"kw̕","kw’"
"kw＇","kw’"
"kw̔","kw’"
"kw'","kw’"
"kwˈ","kw’"
"kw՚","kw’"
"q'","q’"
"q＇","q’"
"q՚","q’"
"qʼ","q’"
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"tsˈ","ts’"
"ts'","ts’"
"ts՚","ts’"
"ts＇","ts’"
"tsʼ","ts’"
"tlˈ","tl’"
"tl՚","tl’"
"tlʼ","tl’"
"tl̓","tl’"
"tl̒","tl’"
"tl̕","tl’"
"tl＇","tl’"
"tl̔","tl’"
"tl'","tl’"
"Qw̓","Qw’"
"Qw̕","Qw’"
"Qw̒","Qw’"
"Qw̔","Qw’"
"Qwʼ","Qw’"
"Qwˈ","Qw’"
"Qw՚","Qw’"
"Qw＇","Qw’"
"Qw'","Qw’"
"T̓","T’"
"T̕","T’"
"T̒","T’"
"T̔","T’"
"Tʼ","T’"
"Tˈ","T’"
"T՚","T’"
"T＇","T’"
"T'","T’"
"K̓","K’"
"K̕","K’"
"K̒","K’"
"K̔","K’"
"Kʼ","K’"
"Ќ","K’"
"Kˈ","K’"
"K՚","K’"
"K＇","K’"
"K'","K’"
"W̍","W̓"
"Wˈ","W̓"
"W’","W̓"
"W՚","W̓"
"Wʼ","W̓"
"W̒","W̓"
"W̔","W̓"
"W̕","W̓"
"P̓","P’"
"P̕","P’"
"P̒","P’"
"P̔","P’"
"Pʼ","P’"
"Pˈ","P’"
"P՚","P’"
"P＇","P’"
"P'","P’"
"Kw̓","Kw’"
"Kw̕","Kw’"
"Kw̒","Kw’"
"Kw̔","Kw’"
"Kwʼ","Kw’"
"Kwˈ","Kw’"
"Kw՚","Kw’"
"Kw＇","Kw’"
"Kw'","Kw’"
"Q̓","Q’"
"Q̕","Q’"
"Q̒","Q’"
"Q̔","Q’"
"Qʼ","Q’"
"Qˈ","Q’"
"Q՚","Q’"
"Q＇","Q’"
"Q'","Q’"
"Ts＇","Ts’"
"Ts'","Ts’"
"Ts̓","Ts’"
"Ts̕","Ts’"
"Ts̒","Ts’"
"Ts̔","Ts’"
"Tsʼ","Ts’"
"Tsˈ","Ts’"
"Ts՚","Ts’"
"Tl̓","Tl’"
"Tl̕","Tl’"
"Tl̒","Tl’"
"Tl̔","Tl’"
"Tlʼ","Tl’"
"Tlˈ","Tl’"
"Tl՚","Tl’"
"Tl＇","Tl’"
"Tl'","Tl’"
