Sort Order,Character,Approximate Latin Form(s)
"1","ᐁ","e"
"2","ᐃ","i"
"3","ᐅ","o"
"4","ᐊ","a"
"5","ᐄ","ii"
"6","ᐆ","oo"
"7","ᐋ","aa"
"8","ᐯ","pe, be"
"9","ᐱ","pi, bi"
"10","ᐳ","po, bo"
"11","ᐸ","pa, ba"
"12","ᐲ","pii, bii"
"13","ᐴ","poo, boo"
"14","ᐹ","paa, baa"
"15","ᑉ","p, b"
"16","ᑌ","te, de"
"17","ᑎ","ti, di"
"18","ᑐ","to, do"
"19","ᑕ","ta, da"
"20","ᑏ","tii, dii"
"21","ᑑ","too, doo"
"22","ᑖ","taa, daa"
"23","ᑦ","t, d"
"24","ᑫ","ke, ge"
"25","ᑭ","ki, gi"
"26","ᑯ","ko, go"
"27","ᑲ","ka, ga"
"28","ᑮ","kii, gii"
"29","ᑰ","koo, goo"
"30","ᑳ","kaa, gaa"
"31","ᒃ","k, g"
"32","ᒉ","che, je"
"33","ᒋ","chi, ji"
"34","ᒍ","cho, jo"
"35","ᒐ","cha, ja"
"36","ᒌ","chii, jii"
"37","ᒎ","choo, joo"
"38","ᒑ","chaa, jaa"
"39","ᒡ","ch, j"
"40","ᒣ","me"
"41","ᒥ","mi"
"42","ᒧ","mo"
"43","ᒪ","ma"
"44","ᒦ","mii"
"45","ᒨ","moo"
"46","ᒫ","maa"
"47","ᒻ","m"
"48","ᓀ","ne"
"49","ᓂ","ni"
"50","ᓄ","no"
"51","ᓇ","na"
"52","ᓃ","nii"
"53","ᓅ","noo"
"54","ᓈ","naa"
"55","ᓐ","n"
"56","ᓭ","se, ze"
"57","ᓯ","si, zi"
"58","ᓱ","so, zo"
"59","ᓴ","sa, za"
"60","ᓰ","sii, zii"
"61","ᓲ","soo, zoo"
"62","ᓵ","saa, zaa"
"63","ᔅ","s, z"
"64","ᔐ","she, zhe"
"65","ᔑ","shi, zhi"
"66","ᔓ","sho, zho"
"67","ᔕ","sha, zha"
"68","ᔒ","shii, zhii"
"69","ᔔ","shoo, zhoo"
"70","ᔖ","shaa, zhaa"
"71","ᔥ","sh, zh"
"72","ᔦ","ye"
"73","ᔨ","yi"
"74","ᔪ","yo"
"75","ᔭ","ya"
"76","ᔩ","yii"
"77","ᔫ","yoo"
"78","ᔮ","yaa"
"79","ᔾ","y"
"80","ᐧᐁ","we"
"81","ᐧᐃ","wi"
"82","ᐧᐅ","wo"
"83","ᐧᐊ","wa"
"84","ᐧᐄ","wii"
"85","ᐧᐆ","woo"
"86","ᐧᐋ","waa"
"87","ᐤ","w"
"88","ᐦ","h"
