Sort Order,Character,Approximate Latin Form(s)
"1","ᐁ","ei, ay, a, ā"
"2","ᐃ","i, e"
"3","ᐅ","o, oe"
"4","ᐊ","u, a"
"5","ᐋ","a"
"6","ᐁᐧ","wei, way, wa, wā"
"7","ᐃᐧ","wi, we"
"8","ᐅᐧ","wo, woe"
"9","ᐊᐧ","wu, wa"
"10","ᐋᐧ","wa"
"11","ᐧ","w"
"12","ᐯ","pei, pay, pa, pā"
"13","ᐱ","pi, pe"
"14","ᐳ","po, poe"
"15","ᐸ","pu, pa"
"16","ᐹ","pa"
"17","ᑊ","p"
"18","ᑌ","tei, tay, ta, tā"
"19","ᑎ","ti, te"
"20","ᑐ","to, toe"
"21","ᑕ","tu, ta"
"22","ᑖ","ta"
"23","ᐟ","t"
"24","ᑫ","kei, kay, ka, kā"
"25","ᑭ","ki, ke"
"26","ᑯ","ko, koe"
"27","ᑲ","ku, ka"
"28","ᑳ","ka"
"29","ᐠ","k"
"30","ᒉ","chei, chay, cha, chā"
"31","ᒋ","chi, che"
"32","ᒍ","cho, choe"
"33","ᒐ","chu, cha"
"34","ᒑ","cha"
"35","ᐨ","ch"
"36","ᒣ","mei, may, ma, mā"
"37","ᒥ","mi, me"
"38","ᒧ","mo, moe"
"39","ᒪ","mu, ma"
"40","ᒫ","ma"
"41","ᒼ","m"
"42","ᓀ","nei, nay, na, nā"
"43","ᓂ","ni, ne"
"44","ᓄ","no, noe"
"45","ᓇ","nu, na"
"46","ᓈ","na"
"47","ᐣ","n"
"48","ᓭ","sei, say, sa, sā"
"49","ᓯ","si, se"
"50","ᓱ","so, soe"
"51","ᓴ","su, sa"
"52","ᓵ","sa"
"53","ᐢ","s"
"54","ᔦ","yei, yay, ya, yā"
"55","ᔨ","yi, ye"
"56","ᔪ","yo, yoe"
"57","ᔭ","yu, ya"
"58","ᔮ","ya"
"59","ᐩ","y"
"60","ᐤ","aw"
"61","ᓬ","l"
"62","ᕒ","r"
"63","᙮","hk"
"64","ᐦ","h"
