Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","b",""
"3","ch",""
"4","ch’",""
"5","d",""
"6","dl",""
"7","dz",""
"8","d̲z̲",""
"9","e",""
"10","g",""
"11","gh",""
"12","gw",""
"13","h",""
"14","i",""
"15","j",""
"16","k",""
"17","k’",""
"18","kh",""
"19","kw",""
"20","kw’",""
"21","l",""
"22","lh",""
"23","m",""
"24","n",""
"25","ng",""
"26","o",""
"27","oo",""
"28","s",""
"29","s̲",""
"30","sh",""
"31","t",""
"32","t’",""
"33","tl",""
"34","tl’",""
"35","ts",""
"36","ts’",""
"37","t̲s̲",""
"38","t̲s̲’",""
"39","u",""
"40","w",""
"41","wh",""
"42","y",""
"43","z̲",""
"44","z",""
"45","’",""
