Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","á",""
"3","c",""
"4","cw",""
"5","e",""
"6","é",""
"7","g",""
"8","gw",""
"9","g̓w",""
"10","h",""
"11","i",""
"12","í",""
"13","k",""
"14","kw",""
"15","k̓",""
"16","k̓w",""
"17","l",""
"18","l̓",""
"19","ll",""
"20","m",""
"21","m̓",""
"22","n",""
"23","n̓",""
"24","o",""
"25","ó",""
"26","p",""
"27","p̓",""
"28","q",""
"29","qw",""
"30","q̓",""
"31","q̓w",""
"32","r",""
"33","r̓",""
"34","s",""
"35","t",""
"36","ts",""
"37","t̓",""
"38","ts̓",""
"39","u",""
"40","ú",""
"41","w",""
"42","w̓",""
"43","x",""
"44","xw",""
"45","y",""
"46","y̓",""
"47","7",""
