Confusable,Canonical Character
"k̕w","k̓w"
"k̍w","k̓w"
"k̒w","k̓w"
"k̔w","k̓w"
"kʼw","k̓w"
"k’w","k̓w"
"k՚w","k̓w"
"y̍","y̓"
"y̒","y̓"
"y̔","y̓"
"y̕","y̓"
"ý","y̓"
"y'","y̓"
"q̕w","q̓w"
"q̒w","q̓w"
"q̔w","q̓w"
"q̍w","q̓w"
"t̔","t̓"
"t’","t̓"
"t՚","t̓"
"tʼ","t̓"
"t̍","t̓"
"t̒","t̓"
"t̕","t̓"
"t́","t̓"
"t'","t̓"
"ĺ","l̓"
"l̒","l̓"
"l̔","l̓"
"l̕","l̓"
"l̍","l̓"
"l’","l̓"
"l'","l̓"
"g’w","g̓w"
"gʼw","g̓w"
"g՚w","g̓w"
"gˈw","g̓w"
"g̕w","g̓w"
"g̔w","g̓w"
"g̒w","g̓w"
"ǵw","g̓w"
"p̒","p̓"
"p̔","p̓"
"p̕","p̓"
"p̍","p̓"
"ṕ","p̓"
"p’","p̓"
"p'","p̓"
"m̍","m̓"
"m̒","m̓"
"m̔","m̓"
"m̕","m̓"
"ḿ","m̓"
"m'","m̓"
"w̍","w̓"
"w̒","w̓"
"w̔","w̓"
"w̕","w̓"
"ẃ","w̓"
"w'","w̓"
"ts̒","ts̓"
"ts̔","ts̓"
"ts'","ts̓"
"ts̕","ts̓"
"tsˈ","ts̓"
"ts՚","ts̓"
"ts＇","ts̓"
"ts’","ts̓"
"tsʼ","ts̓"
"tś","ts̓"
"q̒","q̓"
"q̔","q̓"
"q̕","q̓"
"q̍","q̓"
"q́","q̓"
"q’","q̓"
"q'","q̓"
"r̕","r̓"
"rʼ","r̓"
"ŕ","r̓"
"r'","r̓"
"kʼ","k̓"
"k̍","k̓"
"k̒","k̓"
"k̕","k̓"
"k̔","k̓"
"k’","k̓"
"k՚","k̓"
"ḱ","k̓"
"k'","k̓"
"n̒","n̓"
"n̔","n̓"
"n̕","n̓"
"n̍","n̓"
"ń","n̓"
"n'","n̓"
