Sort Order,Character,Approximate Latin Form(s)
"1","A",""
"2","Á",""
"3","Ⱥ",""
"4","B",""
"5","C",""
"6","Ć",""
"7","Ȼ",""
"8","D",""
"9","E",""
"10","H",""
"11","I",""
"12","Í",""
"13","J",""
"14","K",""
"15","₭",""
"16","Ḵ",""
"17","Ḱ",""
"18","L",""
"19","Ƚ",""
"20","M",""
"21","N",""
"22","Ṉ",""
"23","O",""
"24","P",""
"25","Q",""
"26","S",""
"27","Ś",""
"28","T",""
"29","Ⱦ",""
"30","Ṯ",""
"31","Ŧ",""
"32","U",""
"33","W",""
"34","W̱",""
"35","X",""
"36","X̱",""
"37","Y",""
"38","Z",""
"39","s",""
