Sort Order,Character,Approximate Latin Form(s)
"1","a","a"
"2","aa","aa"
"3","a̱","a"
"4","b","b"
"5","ch","ch"
"6","d","d"
"7","dz","dz"
"8","e","e"
"9","ee","ee"
"10","g","g"
"11","gw","gw"
"12","gy","gy"
"13","g̱","g"
"14","h","h"
"15","i","i"
"16","ii","ii"
"17","k","k"
"18","k'","k"
"19","kw","kw"
"20","kw'","kw"
"21","ky","ky"
"22","ky'","ky"
"23","ḵ","k"
"24","ḵ'","k"
"25","l","l"
"26","'l","l"
"27","ł","hl"
"28","m","m"
"29","'m","m"
"30","n","n"
"31","'n","n"
"32","o","o"
"33","oo","oo"
"34","p","p"
"35","p'","p"
"36","s","s"
"37","t","t"
"38","t'","t"
"39","ts","ts"
"40","ts'","ts"
"41","u","u"
"42","uu","uu"
"43","ü","u"
"44","üü","uu"
"45","w","w"
"46","'w","w"
"47","ẅ","w"
"48","'ẅ","w"
"49","x","x"
"50","xw","xw"
"51","xy","xy"
"52","x̱",""
"53","x̱w",""
"54","y","y"
"55","'y","y"
"56","'",""
