Base Character,Variant
"a","A"
"aa","Aa"
"a̱","A̱"
"b","B"
"ch","Ch"
"d","D"
"dz","Dz"
"e","E"
"ee","Ee"
"g","G"
"gw","Gw"
"gy","Gy"
"g̱","G̱"
"h","H"
"i","I"
"ii","Ii"
"k","K"
"k'","K'"
"kw","Kw"
"kw'","Kw'"
"ky","Ky"
"ky'","Ky'"
"ḵ","Ḵ"
"ḵ'","Ḵ'"
"l","L"
"'l","'L"
"ł","Ł"
"m","M"
"'m","'M"
"n","N"
"'n","'N"
"o","O"
"oo","Oo"
"p","P"
"p'","P'"
"s","S"
"t","T"
"t'","T'"
"ts","Ts"
"ts'","Ts'"
"u","U"
"uu","Uu"
"ü","Ü"
"üü","Üü"
"w","W"
"'w","'W"
"ẅ","Ẅ"
"'ẅ","'Ẅ"
"x","X"
"xw","Xw"
"xy","Xy"
"x̱","X̱"
"x̱w","X̱w"
"y","Y"
"'y","'Y"
